Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU23401-MONOMER		stage V sporulation germinant protein	BSU23401		BSU23401
CPLX8J2-104		ATP-dependent protease	BSU16150 // BSU16160		
BSU23000-MONOMER		putative enzyme possibly involved in cell wall turnover	BSU23000	CCI-PM-BAC-POS-GP	BSU23000
BSU24560-MONOMER		glycine decarboxylase (subunit 1) (glycine cleavage system protein P)	BSU24560		BSU24560
BSU27060-MONOMER		phosphotransferase system (PTS) fructose-specific enzyme IIB component	BSU27060	CCI-CYTOSOL-GP	BSU27060
BSU26680-MONOMER		hypothetical protein	BSU26680		BSU26680
BSU04210-MONOMER		putative ribosomal protein N-acetyltransferase	BSU04210	CCI-CYTOSOL-GP	BSU04210
BSU05040-MONOMER		putative alkanal monooxygenase	BSU05040	CCI-CYTOSOL-GP	BSU05040
CPLX-8351		hydroxyethylthiazole kinase	BSU38300		
BSU04680-MONOMER		antagonist of RsbT	BSU04680		BSU04680
BSU28190-MONOMER		GTPase involved in ribosome 50S subunit assembly (maturation of the central 50S protuberance)	BSU28190	CCI-CYTOSOL-GP	BSU28190
BSU17010-MONOMER		enzyme for ms(2)i(6)A formation for tRNA modification	BSU17010	CCI-CYTOSOL-GP	BSU17010
BSU16610-MONOMER		nucleoid-associated protein	BSU16610	CCI-BAC-NUCLEOID-GP	BSU16610
BSU16150-MONOMER		two-component ATP-dependent protease (N-terminal serine protease)	BSU16150	CCI-CYTOSOL-GP	BSU16150
BSU30739-MONOMER		conserved protein of unknown function	BSU30739		BSU30739
CPLX8J2-96		7-cyano-7-deazaguanine synthetase	BSU13720		
BSU30360-MONOMER		conserved protein of unknown function	BSU30360	CCI-PM-BAC-POS-GP	BSU30360
BSU06170-MONOMER		putative sugar kinase (ribokinase family); prophage region 3	BSU06170		BSU06170
BSU34300-MONOMER		putative glycosyltransferase involved in biofilm formation	BSU34300		BSU34300
BSU33920-MONOMER		triose phosphate isomerase	BSU33920	CCI-CYTOSOL-GP	BSU33920
BSU29870-MONOMER		conserved protein of unknown function	BSU29870		BSU29870
BSU08690-MONOMER		ABC family transporter ATP-binding/membrane protein YgaD	BSU08690	CCI-PM-BAC-POS-GP	BSU08690
CPLX8J2-81		ABC transporter BceAB (bacitracin resistance)	BSU30370 // BSU30380		
BSU08310-MONOMER		putative ABC exporter (linearmycin resistance), ATP-binding subunit LnrL	BSU08310	CCI-PM-BAC-POS-GP	BSU08310
BSU00070-MONOMER		DNA gyrase (subunit A)	BSU00070	CCI-CYTOSOL-GP	BSU00070
BSU02590-MONOMER		putative inner integral membrane protein	BSU02590	CCI-PM-BAC-POS-GP	BSU02590
BSU02220-MONOMER		putative transcriptional regulator (AraC/XylS family, cupin family)	BSU02220		BSU02220
BSU33450-MONOMER		DNA 3'-5' helicase IV	BSU33450	CCI-CYTOSOL-GP	BSU33450
BSU37970-MONOMER		uracil-DNA glycosylase	BSU37970	CCI-CYTOSOL-GP	BSU37970
CPLX8J2-65		choline ABC transporter OpuB	BSU33700 // BSU33710 // BSU33720 // BSU33730	CCI-PM-BAC-POS-GP	
BSU37600-MONOMER		putative metal-dependent nucleotide (pyro)phosphohydrolase	BSU37600		BSU37600
BSU31875-MONOMER		ESX secretion system FtsK/SpoIIIE family ATPase	BSU31875	CCI-PM-BAC-POS-GP	BSU31875
BSU19639-MONOMER		conserved hypothetical protein	BSU19639		BSU19639
BSU19280-MONOMER		conserved protein of unknown function (sporulation-related)	BSU19280		BSU19280
BSU07840-MONOMER		exported 2',3'-cyclic-nucleotide 2'-phosphodiesterase, 2' (or 3') nucleotidase and 5' nucleotidase	BSU07840	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU07840
BSU32539-MONOMER		hypothetical protein	BSU32539		BSU32539
CPLX8J2-49		RNA polymerase, &sigma;X	BSU23100 // BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070		
BSU14568-MONOMER		putative antitoxin	BSU14568		BSU14568
BSU35460-MONOMER		regulator of competence, pole located	BSU35460	CCI-CYTOSOL-GP	BSU35460
BSU13230-MONOMER		putative thiamine/hydroxymethylpyrimidine ECF transporter, S component ThiV	BSU13230	CCI-PM-BAC-POS-GP	BSU13230
BSU12870-MONOMER		hydroquinone-specific extradiol dioxygenase	BSU12870	CCI-CYTOSOL-GP	BSU12870
BSU01730-MONOMER		RNA polymerase ECF(extracytoplasmic function)-type sigma factor W	BSU01730		BSU01730
BSU23230-MONOMER		conserved protein of unknown function	BSU23230		BSU23230
CPLX8J2-33		exodeoxyribonuclease VII	BSU24290 // BSU24300		
BSU22850-MONOMER		conserved membrane protein of unknown function	BSU22850	CCI-PM-BAC-POS-GP	BSU22850
BSU09870-MONOMER		K+/H+ antiporter for K+ efflux	BSU09870	CCI-PM-BAC-POS-GP	BSU09870
BSU26900-MONOMER		conserved protein of unknown function	BSU26900		BSU26900
BSU26530-MONOMER		putative rhodanese-related sulfur transferase	BSU26530		BSU26530
BSU37130-MONOMER		two-component response regulator of sporulation initiation	BSU37130	CCI-CYTOSOL-GP	BSU37130
BSU04880-MONOMER		ICEBs1 mobile element: conserved protein of unknown function	BSU04880		BSU04880
CPLX8J2-258			BSU29900		
BSU04520-MONOMER		putative acyl-CoA dehydrogenase	BSU04520		BSU04520
BSU03740-MONOMER		putative ABC efflux transporter membrane protein YclI	BSU03740	CCI-PM-BAC-POS-GP	BSU03740
BSU16810-MONOMER		putative transcriptional regulator (GntR family, possibly involved in biofilm formation)	BSU16810		BSU16810
BSU16450-MONOMER		signal terminating phosphatase of CheR-mediated methylation of methyl-accepting chemotaxis proteins (MCPs)	BSU16450		BSU16450
BSU18850-MONOMER		transcriptional regulator (phage-related, Xre family); putative defective prophage 6	BSU18850		BSU18850
BSU30570-MONOMER		conserved protein of unknown function	BSU30570		BSU30570
CPLX8J2-239		methionine ABC transporter	BSU32730 // BSU32740 // BSU32750		
BSU30200-MONOMER		biotin synthase	BSU30200		BSU30200
BSU39140-MONOMER		conserved protein of unknown function	BSU39140		BSU39140
BSU34130-MONOMER		short chain beta-1,4-galacto-oligosaccharides beta-galactosidase (beta-galacto-pyranoside hydrolase)	BSU34130		BSU34130
BSU33760-MONOMER		export step of killing factor SdpC	BSU33760	CCI-PM-BAC-POS-GP	BSU33760
BSU40720-MONOMER		putative acetyltransferase (polyamine degradation)	BSU40720		BSU40720
BSU08530-MONOMER		conserved hypothetical protein	BSU08530		BSU08530
CPLX8J2-222		heme-based dioxygen sensor	BSU10380		
BSU08150-MONOMER		conserved protein of unknown function	BSU08150		BSU08150
BSU20780-MONOMER		putative transcriptional regulator, lambda repressor-like; phage SPbeta	BSU20780		BSU20780
BSU02430-MONOMER		glutaminase	BSU02430		BSU02430
BSU02060-MONOMER		putative amino acid permease	BSU02060	CCI-PM-BAC-POS-GP	BSU02060
BSU12460-MONOMER		phage PBSX; N-acetylmuramoyl-L-alanine amidase	BSU12460	CCI-EXTRACELLULAR-GP	BSU12460
BSU37810-MONOMER		putative dTDP-4-deoxyrhamnose-3,5-epimerase (cell surface and spore coat)	BSU37810	CCI-CYTOSOL-GP	BSU37810
CPLX8J2-207		putative cytochrome bd menaquinol oxidase	BSU30720 // BSU30710		
BSU37440-MONOMER		conserved protein of unknown function	BSU37440		BSU37440
BSU14340-MONOMER		putative transporter (SDP resistance) accessory component YknW	BSU14340	CCI-PM-BAC-POS-GP	BSU14340
BSU19480-MONOMER		putative N-acetylated toxic metabolites	BSU19480	CCI-PM-BAC-POS-GP	BSU19480
BSU19130-MONOMER		putative murein fragments glycosidase	BSU19130	CCI-PM-BAC-POS-GP	BSU19130
BSU22390-MONOMER		conserved protein of unknown function	BSU22390		BSU22390
BSU26399-MONOMER		hypothetical protein	BSU26399		BSU26399
CPLX8J2-192		putative cysteine ligase BshC	BSU15120		
BSU41020-MONOMER		tRNA modification GTPase and tRNA-U34 5-formylation enzyme	BSU41020	CCI-CYTOSOL-GP	BSU41020
BSU24400-MONOMER		stage III sporulation protein (feeding tube apparatus)	BSU24400	CCI-PM-BAC-POS-GP	BSU24400
BSU13080-MONOMER		putative N-acetyltransferase	BSU13080		BSU13080
BSU12720-MONOMER		phage PBSX; conserved hypothetical protein	BSU12720		BSU12720
BSU26030-MONOMER		putative tape measure protein; skin element	BSU26030		BSU26030
BSU23070-MONOMER		3-phosphoglycerate dehydrogenase	BSU23070		BSU23070
CPLX8J2-177		endoribonuclease toxin MazF	BSU04660		
BSU22700-MONOMER		3-dehydroquinate synthase	BSU22700	CCI-CYTOSOL-GP	BSU22700
BSU28040-MONOMER		conserved nucleotide-related metabolism protein	BSU28040		BSU28040
BSU26730-MONOMER		putative ribonuclease inhibitor	BSU26730	CCI-CYTOSOL-GP	BSU26730
BSU26340-MONOMER		putative transcriptional regulator; skin element	BSU26340		BSU26340
BSU04050-MONOMER		oxoprolinase subunit A	BSU04050		BSU04050
BSU04730-MONOMER		RNA polymerase sigma-37 factor (sigma(B))	BSU04730		BSU04730
CPLX8J2-161		wall teichoic acid ABC transporter	BSU35700 // BSU35710		
BSU04360-MONOMER		proton-coupled manganese transporter	BSU04360	CCI-PM-BAC-POS-GP	BSU04360
BSU06000-MONOMER		conserved hypothetical protein	BSU06000	CCI-PM-BAC-POS-GP	BSU06000
BSU16660-MONOMER		tRNA pseudouridine 55 synthase	BSU16660		BSU16660
BSU16299-MONOMER		flagellar power transducer required for swarming	BSU16299		BSU16299
BSU15990-MONOMER		ribosomal protein S16 (BS17)	BSU15990	CCI-RIBOSOME-GP	BSU15990
BSU30410-MONOMER		putative ABC transporter membrane protein	BSU30410	CCI-PM-BAC-POS-GP	BSU30410
CPLX8J2-14		DNA gyrase	BSU00060 // BSU00070		
BSU30020-MONOMER		putative transcriptional regulator (DeoR family)	BSU30020		BSU30020
BSU18010-MONOMER		putative membrane-bound proteins with a thioredoxin-like domain	BSU18010	CCI-PM-BAC-POS-GP	BSU18010
BSU33970-MONOMER		transcriptional repressor of the ara regulon (LacI family)	BSU33970	CCI-CYTOSOL-GP	BSU33970
BSU33600-MONOMER		tmRNA-binding protein	BSU33600	CCI-CYTOSOL-GP	BSU33600
BSU29700-MONOMER		component of the acetyl-coenzyme A synthetase regulation pathway	BSU29700		BSU29700
BSU08360-MONOMER		acetyl-glucosamine metabolite exporter component involved in biofilm formation	BSU08360	CCI-PM-BAC-POS-GP	BSU08360
CPLX8J2-119		maltodextrin ABC transporter	BSU34590 // BSU34600 // BSU34610 // BSU38810		
BSU08000-MONOMER		CorA-family transporter YfjQ	BSU08000	CCI-PM-BAC-POS-GP	BSU08000
BSU31710-MONOMER		isoprenyl transferase (pre-ComX modification)	BSU31710	CCI-PM-BAC-POS-GP	BSU31710
BSU02270-MONOMER		phosphatidylserine synthase	BSU02270	CCI-PM-BAC-POS-GP	BSU02270
BSU01890-MONOMER		putative efflux transporter; prophage 1 region	BSU01890	CCI-PM-BAC-POS-GP	BSU01890
BSU33290-MONOMER		iron(III) hydroxamate ABC transporter ATP-binding protein	BSU33290	CCI-PM-BAC-POS-GP	BSU33290
BSU37650-MONOMER		regulator of sulfur assimilation CysL, activates cysJI expression	BSU37650		BSU37650
CPLX8J2-101		ATP synthase	BSU36840 // BSU36830 // BSU36820 // BSU36810 // BSU36800 // BSU36870 // BSU36860 // BSU36850		
BSU37280-MONOMER		nitrate reductase (alpha subunit)	BSU37280	CCI-PM-BAC-POS-GP	BSU37280
BSU35310-MONOMER		ribosome-associated sigma 54 modulation protein; ribosome dimerisation factor	BSU35310	CCI-CYTOSOL-GP	BSU35310
BSU19330-MONOMER		superoxide dismutase (Fe2+-dependent)	BSU19330		BSU19330
BSU18970-MONOMER		putative phage repair NTPase with transmembrane helices; putative defective prophage 6	BSU18970	CCI-PM-BAC-POS-GP	BSU18970
BSU07670-MONOMER		conserved membrane protein	BSU07670	CCI-PM-BAC-POS-GP	BSU07670
BSU18275-MONOMER		conserved protein of unknown function	BSU18275		BSU18275
CPLX-7603		bacillibactin synthase multienzyme complex	BSU31970 // BSU31980 // BSU31960		
BSU40870-MONOMER		transcriptional repressor of carbon supply (LacI family)	BSU40870		BSU40870
BSU09700-MONOMER		leader peptide BmrB	BSU09700		BSU09700
BSU12920-MONOMER		D-alanyl-aminopeptidase	BSU12920		BSU12920
BSU12590-MONOMER		phage PBSX; phage capsid portal protein	BSU12590		BSU12590
BSU01570-MONOMER		polysaccharide deacetylase involved in sporulation	BSU01570		BSU01570
BSU22890-MONOMER		cytidylate kinase	BSU22890	CCI-CYTOSOL-GP	BSU22890
CPLX8J2-93		glycine betaine/carnitine/choline/choline sulfate ABC transporter	BSU33800 // BSU33810 // BSU33820 // BSU33830	CCI-PM-BAC-POS-GP	
BSU22540-MONOMER		menaquinol:cytochrome c oxidoreductase (cytochrome cc subunit)	BSU22540	CCI-PM-BAC-POS-GP	BSU22540
BSU03590-MONOMER		L-cystine ABC transporter ATP-binding protein	BSU03590	CCI-PM-BAC-POS-GP	BSU03590
BSU26580-MONOMER		transcriptional regulator (polyamine metabolism)	BSU26580		BSU26580
BSU26190-MONOMER		putative phage-related terminase large subunit; skin element	BSU26190		BSU26190
BSU36970-MONOMER		regulator signal of pro-sigma(E) spoIIGA endopeptidase (stage II sporulation)	BSU36970		BSU36970
BSU04570-MONOMER		UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanine ligase	BSU04570	CCI-CYTOSOL-GP	BSU04570
CPLX8J2-79		ATP-dependent helicase/nuclease	BSU10620 // BSU10630		
BSU04200-MONOMER		D-lyxose ketol isomerase	BSU04200		BSU04200
BSU38970-MONOMER		putative hydroxyacid dehydrogenase	BSU38970		BSU38970
BSU16500-MONOMER		elongation factor Ts	BSU16500	CCI-CYTOSOL-GP	BSU16500
BSU16140-MONOMER		site-specific tyrosine recombinase for chromosome partitioning	BSU16140	CCI-CYTOSOL-GP	BSU16140
BSU18709-MONOMER		conserved hypothetical protein (putative phage origin); putative defective prophage 6	BSU18709		BSU18709
BSU30250-MONOMER		putative hydrolase	BSU30250		BSU30250
CPLX8J2-60		RNA polymerase, &sigma;K	BSU25760 // BSU26390 // BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070		
BSU29860-MONOMER		putative modified amino acid aminopeptidase	BSU29860		BSU29860
BSU20620-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20620		BSU20620
BSU33810-MONOMER		glycine betaine/carnitine/choline/choline sulfate ABC transporter, substrate-binding lipoprotein	BSU33810	CCI-PM-BAC-POS-GP	BSU33810
BSU33440-MONOMER		assimilatory sulfite reductase (flavoprotein alpha-subunit)	BSU33440	CCI-CYTOSOL-GP	BSU33440
BSU40560-MONOMER		putative manganese-binding lipoprotein	BSU40560	CCI-PM-BAC-POS-GP	BSU40560
BSU08200-MONOMER		phosphotransferase system (PTS) maltose-specific enzyme IICB component	BSU08200	CCI-PM-BAC-POS-GP	BSU08200
CPLX8J2-46		RNA polymerase, &sigma;Y	BSU38700 // BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070		
BSU07830-MONOMER		NAD(P)H-flavin oxidoreductase (nitroreductase)	BSU07830	CCI-CYTOSOL-GP	BSU07830
BSU14180-MONOMER		tetrahydrodipicolinate N-acetyltransferase	BSU14180		BSU14180
BSU02110-MONOMER		conserved protein of unknown function	BSU02110		BSU02110
BSU01720-MONOMER		conserved protein of unknown function	BSU01720		BSU01720
BSU12300-MONOMER		galacturonate isomerase	BSU12300		BSU12300
BSU37490-MONOMER		agmatinase	BSU37490		BSU37490
CPLX8J2-30		RNA polymerase, core enzyme	BSU01070 // BSU01080 // BSU01430 // BSU37160 // BSU15690 // BSU14540		
BSU37120-MONOMER		fructose-1,6-bisphosphate aldolase	BSU37120		BSU37120
BSU24240-MONOMER		factor for double strand breaks DNA repair and genetic recombination	BSU24240	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP	BSU24240
BSU19180-MONOMER		fatty acid desaturase	BSU19180	CCI-PM-BAC-POS-GP	BSU19180
BSU18849-MONOMER		putative phage protein; putative defective prophage 6	BSU18849	CCI-PM-BAC-POS-GP	BSU18849
BSU22230-MONOMER		putative phosphotransferase system enzyme IIA component	BSU22230	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU22230
BSU01790-MONOMER		hypothetical protein	BSU01790		BSU01790
CPLX8J2-255		deoxyuridine 5'-triphosphate pyrophosphatase (phage origin)	BSU17660		
BSU40710-MONOMER		transcriptional regulator (MarR family, polyamine export and degradation)	BSU40710		BSU40710
BSU27880-MONOMER		desulfurase involved in iron-sulfur clusters for NAD biosynthesis	BSU27880		BSU27880
BSU12760-MONOMER		phage PBSX; conserved hypothetical protein	BSU12760		BSU12760
BSU12450-MONOMER		putative enzyme	BSU12450		BSU12450
BSU25870-MONOMER		antitoxin factor of ribonuclease toxin RttG; skin element	BSU25870		BSU25870
BSU22750-MONOMER		demethylmenaquinone methyltransferase	BSU22750		BSU22750
CPLX8J2-235		arginine ABC transporter	BSU23960 // BSU23970 // BSU23980		
BSU22380-MONOMER		suppressor of tetracyclin sensitivity of an ezrA mutant	BSU22380	CCI-PM-BAC-POS-GP	BSU22380
BSU05830-MONOMER		oligo-alpha-mannoside phosphotransferase system enzyme IIC	BSU05830	CCI-PM-BAC-POS-GP	BSU05830
BSU26400-MONOMER		hypothetical protein	BSU26400		BSU26400
BSU26020-MONOMER		putative phage murein-binding protein; skin element	BSU26020		BSU26020
BSU15820-MONOMER		ribosomal protein L28	BSU15820	CCI-RIBOSOME-GP	BSU15820
BSU04410-MONOMER		putative enzyme; cupin family	BSU04410		BSU04410
CPLX8J2-22		cytochrome caa3 oxidase	BSU14890 // BSU14900 // BSU14910 // BSU14920		
BSU04040-MONOMER		5-amino-6-ribitylamino-2,4(1H, 3H)-pyrimidinedione 5'-phosphate phosphatase / 5' nucleotidase	BSU04040	CCI-CYTOSOL-GP	BSU04040
BSU17850-MONOMER		transcriptional repressor of the SOS regulon	BSU17850		BSU17850
BSU16340-MONOMER		flagellar regulatory protein	BSU16340	CCI-PM-BAC-POS-GP	BSU16340
BSU15980-MONOMER		signal recognition particle-like (SRP) GTPase	BSU15980	CCI-CYTOSOL-GP	BSU15980
BSU29540-MONOMER		inorganic polyphosphate/ATP-NAD kinase	BSU29540	CCI-CYTOSOL-GP	BSU29540
BSU30080-MONOMER		conserved sporulation-related protein	BSU30080		BSU30080
CPLX8J2-204		&alpha;-galactoside ABC transporter	BSU38810 // BSU30290 // BSU30280 // BSU30270		
BSU29690-MONOMER		protein acetyltransferase (acetylates AcsA)	BSU29690		BSU29690
BSU31550-MONOMER		guanosine ABC transporter ATP-binding protein	BSU31550	CCI-PM-BAC-POS-GP	BSU31550
BSU33650-MONOMER		putative phage-like transcriptional regulator	BSU33650	CCI-CYTOSOL-GP	BSU33650
BSU33280-MONOMER		membrane fusion family protein YvrP	BSU33280	CCI-PM-BAC-POS-GP	BSU33280
BSU33150-MONOMER		putative ATP:cob(I)alamin adenosyltransferase	BSU33150	CCI-CYTOSOL-GP	BSU33150
BSU08040-MONOMER		conserved hypothetical protein	BSU08040		BSU08040
CPLX8J2-19		tryptophan synthase	BSU22630 // BSU22640		
BSU07660-MONOMER		conserved hypothetical protein	BSU07660		BSU07660
BSU35140-MONOMER		conserved protein of unknown function	BSU35140		BSU35140
BSU01950-MONOMER		sporulation killing factor efflux transporter, ATP-binding protein SkfE	BSU01950	CCI-PM-BAC-POS-GP	BSU01950
BSU01560-MONOMER		inner membrane protein involved in activation of the KinB signaling pathway to sporulation	BSU01560	CCI-PM-BAC-POS-GP	BSU01560
BSU07500-MONOMER		ferric citrate ABC transporter membrane subunit YfmE	BSU07500	CCI-PM-BAC-POS-GP	BSU07500
BSU37330-MONOMER		arginyl-tRNA synthetase	BSU37330	CCI-CYTOSOL-GP	BSU37330
CPLX8J2-174		transcriptional regulator, GTP and BCAA-dependent	BSU16170		
BSU36960-MONOMER		conserved protein of unknown function	BSU36960		BSU36960
BSU09530-MONOMER		aldo/keto reductase specific for NADPH; protects against methylglyoxal	BSU09530		BSU09530
BSU19020-MONOMER		putative amine oxidase (flavoprotein)	BSU19020		BSU19020
BSU18700-MONOMER		conserved hypothetical protein	BSU18700		BSU18700
BSU01410-MONOMER		ribosomal protein S13	BSU01410	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP	BSU01410
BSU40920-MONOMER		potassium-dependent informational ATPase interacting with 70S ribosome; ROS stress regulator	BSU40920	CCI-CYTOSOL-GP	BSU40920
CPLX8J2-158		Na<sup>+</sup>:H<sup>+</sup> antiporter	BSU31660 // BSU31650 // BSU31640 // BSU31630 // BSU31620 // BSU31610 // BSU31600		
BSU40550-MONOMER		inorganic pyrophosphatase (Mn2+-dependent)	BSU40550	CCI-CYTOSOL-GP	BSU40550
BSU03420-MONOMER		inhibitor of the DNA degrading activity of NucA (competence)	BSU03420	CCI-PM-BAC-POS-GP	BSU03420
BSU12630-MONOMER		phage PBSX; conserved hypothetical protein	BSU12630		BSU12630
BSU12290-MONOMER		NADH dehydrogenase	BSU12290		BSU12290
BSU36810-MONOMER		ATP synthase (subunit beta, component F1)	BSU36810	CCI-PM-BAC-POS-GP	BSU36810
BSU22590-MONOMER		conserved protein of unknown function	BSU22590		BSU22590
CPLX8J2-132			BSU13750		
BSU22220-MONOMER		ATP-dependent helicase	BSU22220		BSU22220
BSU38810-MONOMER		multiple sugar ABC transporter ATP-binding protein	BSU38810	CCI-PM-BAC-POS-GP	BSU38810
BSU26240-MONOMER		conserved phage protein of unknown function; skin element	BSU26240		BSU26240
BSU25860-MONOMER		phage ribonuclease toxin; skin element	BSU25860		BSU25860
BSU18560-MONOMER		putative 2-hydroxyacid dehydrogenase	BSU18560		BSU18560
BSU04250-MONOMER		transcriptional regulator (Lrp/AsnC family)	BSU04250		BSU04250
CPLX8J2-116		phosphotransferase system (PTS) mannitol-specific	BSU03982 // BSU03981		
BSU15810-MONOMER		factor required for normal spore cortex and coat synthesis (stage V sporulation)	BSU15810	CCI-PM-BAC-POS-GP	BSU15810
BSU20460-MONOMER		gamma-polyglutamate hydrolase; phage SPbeta	BSU20460		BSU20460
BSU16190-MONOMER		flagellar component of cell-proximal portion of basal-body rod	BSU16190	CCO-CELL-PROJECTION	BSU16190
BSU29530-MONOMER		signal peptide peptidase	BSU29530	CCI-PM-BAC-POS-GP	BSU29530
BSU40410-MONOMER		WalR two-component response regulator	BSU40410	CCI-CYTOSOL-GP	BSU40410
BSU29910-MONOMER		conserved protein of unknown function	BSU29910		BSU29910
CPLX8J2-1		acetoin dehydrogenase E1	BSU08060 // BSU08070 // BSU08080 // BSU08090		
BSU33140-MONOMER		putative efflux protein	BSU33140	CCI-PM-BAC-POS-GP	BSU33140
BSU14030-MONOMER		putative transporter	BSU14030	CCI-PM-BAC-POS-GP	BSU14030
BSU33490-MONOMER		Cd<sup>2+</sup> / Zn<sup>2+</sup> / Co<sup>2+</sup> exporting P-type ATPase	BSU33490	CCI-PM-BAC-POS-GP	BSU33490
BSU07490-MONOMER		ferric citrate ABC transporter ATP-binding protein	BSU07490	CCI-PM-BAC-POS-GP	BSU07490
BSU12150-MONOMER		putative exported protein	BSU12150		BSU12150
BSU07880-MONOMER		protein-tyrosine-phosphatase	BSU07880		BSU07880
CPLX-7445			BSU13590		
BSU01400-MONOMER		ribosomal protein L36 (ribosomal protein B)	BSU01400	CCI-RIBOSOME-GP	BSU01400
BSU24070-MONOMER		branched-chain fatty-acid kinase	BSU24070	CCI-CYTOSOL-GP	BSU24070
BSU01770-MONOMER		phosphoglucosamine mutase	BSU01770	CCI-CYTOSOL-GP	BSU01770
BSU36800-MONOMER		ATP synthase (subunit epsilon, F1 subunit)	BSU36800	CCI-PM-BAC-POS-GP	BSU36800
BSU22080-MONOMER		metal-dependent carboxypeptidase	BSU22080		BSU22080
BSU37170-MONOMER		acyl-CoA dehydrogenase	BSU37170		BSU37170
CPLX8J2-90		ATP-dependent fructose kinase	BSU05860		
BSU18550-MONOMER		hydroxylated metabolite kinase	BSU18550		BSU18550
BSU27729-MONOMER		conserved membrane protein of unknown function	BSU27729	CCI-PM-BAC-POS-GP	BSU27729
BSU18890-MONOMER		conserved hypothetical protein	BSU18890		BSU18890
BSU40400-MONOMER		WalK two-component sensory histidine kinase	BSU40400	CCI-PM-BAC-POS-GP	BSU40400
BSU25700-MONOMER		putative lipoprotein; putative esterase	BSU25700	CCI-PM-BAC-POS-GP	BSU25700
BSU40760-MONOMER		putative oxidoreductase	BSU40760	CCI-PM-BAC-POS-GP	BSU40760
CPLX8J2-76		glycine betaine ABC transporter OpuA	BSU02980 // BSU02990 // BSU03000		
BSU12140-MONOMER		conserved membrane protein	BSU12140	CCI-PM-BAC-POS-GP	BSU12140
BSU05670-MONOMER		putative transcriptional regulator (MarR family)	BSU05670		BSU05670
BSU12500-MONOMER		phage PBSX; putative peptidase	BSU12500		BSU12500
BSU22070-MONOMER		xanthine phosphoribosyltransferase	BSU22070	CCI-CYTOSOL-GP	BSU22070
BSU15660-MONOMER		conserved protein of unknown function	BSU15660		BSU15660
BSU22430-MONOMER		ketopantoate hydroxymethyltransferase	BSU22430	CCI-CYTOSOL-GP	BSU22430
CPLX8J2-58		RNA polymerase, &sigma;F	BSU23450 // BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070		
BSU25690-MONOMER		check point factor coupling initiation of sporulation and replication initiation	BSU25690		BSU25690
BSU17699-MONOMER		putative membrane protein of unknown function (phage origin)	BSU17699	CCI-PM-BAC-POS-GP	BSU17699
BSU26089-MONOMER		conserved phage protein of unknown function; skin element	BSU26089		BSU26089
BSU15650-MONOMER		P-type calcium transport ATPase (sporulation)	BSU15650	CCI-PM-BAC-POS-GP	BSU15650
BSU29380-MONOMER		S-alkyl cysteine ABC transporter substrate-binding lipoprotein TcyJ	BSU29380	CCI-PM-BAC-POS-GP	BSU29380
BSU04090-MONOMER		L-5-oxoprolinase (ATP-dependent) subunit C	BSU04090		BSU04090
CPLX8J2-43		cytochrome aa3-600 menaquinol oxidase	BSU38140 // BSU38150 // BSU38160 // BSU38170		
BSU29370-MONOMER		S-alkyl cysteine ABC transporter substrate-binding lipoprotein TcyK	BSU29370	CCI-PM-BAC-POS-GP	BSU29370
BSU31390-MONOMER		putative RNA degradation protein; putative phosphorylase or nucleotidyl transferase; general stress protein	BSU31390	CCI-CYTOSOL-GP	BSU31390
BSU16030-MONOMER		tRNA(m1G37)methyltransferase	BSU16030	CCI-CYTOSOL-GP	BSU16030
BSU33000-MONOMER		protease-associated chaperone for the extracytoplasmic folding and quality control of exported proteins	BSU33000	CCI-PM-BAC-POS-GP	BSU33000
BSU33010-MONOMER		CssR two-component response regulator	BSU33010	CCI-CYTOSOL-GP	BSU33010
BSU29740-MONOMER		transcriptional regulator of catabolite repression (Lacl family)	BSU29740		BSU29740
CPLX8J2-28		urease	BSU36640 // BSU36650 // BSU36660		
BSU07320-MONOMER		putative efflux transporter	BSU07320	CCI-PM-BAC-POS-GP	BSU07320
BSU34980-MONOMER		putative integral inner membrane protein with nucleotide binding domain	BSU34980	CCI-PM-BAC-POS-GP	BSU34980
BSU33330-MONOMER		lysine permease	BSU33330	CCI-PM-BAC-POS-GP	BSU33330
BSU01250-MONOMER		ribosomal protein S17 (BS16)	BSU01250	CCI-RIBOSOME-GP	BSU01250
BSU07330-MONOMER		pyrimidine nucleotide phosphatase (promiscuous)	BSU07330		BSU07330
BSU07710-MONOMER		lipoteichoic acid synthase	BSU07710	CCI-PM-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU07710
CPLX8J2-252		anthranilate synthase	BSU22680 // BSU00750		
