Transcription-Units	Genes of transcription unit	Direction
TU1G01-1406	G1G01-1320 // G1G01-1319	+
TU1G01-6916	G1G01-2500	-
TU1G01-2188	G1G01-2078	+
TU1G01-3904	G1G01-3664	+
TU1G01-4564	G1G01-4288	+
TU1G01-844	G1G01-785	+
TU1G01-5244	G1G01-4956	+
TU1G01-5910	G1G01-5597 // G1G01-5596	-
TU1G01-1494	G1G01-1414	+
TU1G01-6572	G1G01-4025	+
TU1G01-3202	G1G01-3009 // G1G01-3008	+
TU1G01-138	G1G01-117	-
TU1G01-6886	G1G01-2591	+
TU1G01-216	G1G01-178	-
TU1G01-3876	G1G01-3644	+
TU1G01-4532	G1G01-4258	+
TU1G01-816	G1G01-764 // G1G01-763	+
TU1G01-5216	G1G01-4926	+
TU1G01-588	G1G01-573 // G1G01-572 // G1G01-571	+
TU1G01-1464	G1G01-1384 // G1G01-1387 // G1G01-1386 // G1G01-1385	+
TU1G01-6542	G1G01-4147	+
TU1G01-3176	G1G01-2979	-
TU1G01-1350	G1G01-1272 // G1G01-1271	-
TU1G01-6858	G1G01-2709	+
TU1G01-2130	G1G01-2027	+
TU1G01-3846	G1G01-3615 // G1G01-3614 // G1G01-3613	-
TU1G01-4502	G1G01-4228	+
TU1G01-788	G1G01-748	-
TU1G01-5188	G1G01-4894	-
TU1G01-5850	G1G01-5535	+
TU1G01-6514	G1G01-4248	+
TU1G01-3146	G1G01-2949 // G1G01-2948	+
TU1G01-1320	G1G01-1252 // G1G01-1251 // G1G01-1250	-
TU1G01-6828	G1G01-2765	+
TU1G01-2100	G1G01-1993 // G1G01-1992	+
TU1G01-3818	G1G01-3584 // G1G01-3583	+
TU1G01-4474	G1G01-4205	-
TU1G01-76	G1G01-57 // G1G01-56 // G1G01-55	+
TU1G01-516	G1G01-472	+
TU1G01-5820	G1G01-5504 // G1G01-5503	-
TU1G01-6484	G1G01-4405	-
TU1G01-3118	G1G01-2919 // G1G01-2918 // G1G01-2917 // G1G01-2916	-
TU1G01-1292	G1G01-1232	+
TU1G01-680	G1G01-656 // G1G01-655 // G1G01-654	+
TU1G01-2072	G1G01-1964	-
TU1G01-3790	G1G01-3563 // G1G01-3562 // G1G01-3561	+
TU1G01-4444	G1G01-4188	-
TU1G01-7449	G1G01-2918	-
TU1G01-2738	G1G01-2573 // G1G01-2572 // G1G01-2571	+
TU1G01-5130	G1G01-4838	-
TU1G01-5794	G1G01-5474 // G1G01-5473	-
TU1G01-6456	G1G01-4543	+
TU1G01-3088	G1G01-2885 // G1G01-2884	+
TU1G01-1260	G1G01-1205	+
TU1G01-6772	G1G01-3142	-
TU1G01-2042	G1G01-1943	+
TU1G01-3760	G1G01-3535	-
TU1G01-4416	G1G01-4156 // G1G01-4155 // G1G01-4154 // G1G01-4153	-
TU1G01-7434	G1G01-29	-
TU1G01-2708	G1G01-2540	+
TU1G01-5100	G1G01-4814	+
TU1G01-5764	G1G01-5446 // G1G01-5445 // G1G01-5444 // G1G01-5443 // G1G01-5442 // G1G01-5441	+
TU1G01-6426	G1G01-4756	+
TU1G01-3058	G1G01-2855	-
TU1G01-1232	G1G01-1180 // G1G01-1179	-
TU1G01-6742	G1G01-3300	+
TU1G01-2014	G1G01-1916	-
TU1G01-3732	G1G01-3498	-
TU1G01-4388	G1G01-4110	-
TU1G01-7404	G1G01-125	+
TU1G01-268	G1G01-225 // G1G01-224	+
TU1G01-5072	G1G01-4775	-
TU1G01-5736	G1G01-5412	+
TU1G01-64	G1G01-48	+
TU1G01-3026	G1G01-2829	-
TU1G01-1202	G1G01-1154	+
TU1G01-6714	G1G01-3495	-
TU1G01-1984	G1G01-1882 // G1G01-1881 // G1G01-1880 // G1G01-1879 // G1G01-1878	+
TU1G01-3702	G1G01-3462	+
TU1G01-436	G1G01-400 // G1G01-399 // G1G01-398 // G1G01-397 // G1G01-396	+
TU1G01-7378	G1G01-281	-
TU1G01-2650	G1G01-2481	+
TU1G01-5042	G1G01-4748	+
TU1G01-5706	G1G01-5386	-
TU1G01-6370	G1G01-4873	-
TU1G01-30	G1G01-24	-
TU1G01-1170	G1G01-1111 // G1G01-1110	+
TU1G01-1956	G1G01-1854	+
TU1G01-3674	G1G01-3439	+
TU1G01-4330	G1G01-4054	+
TU1G01-7348	G1G01-349	+
TU1G01-2620	G1G01-2461	+
TU1G01-5014	G1G01-4729 // G1G01-4728	+
TU1G01-5678	G1G01-5358 // G1G01-5357 // G1G01-5356	+
TU1G01-6340	G1G01-4939	-
TU1G01-2970	G1G01-2766	-
TU1G01-114	G1G01-94 // G1G01-93	+
TU1G01-1926	G1G01-1832	-
TU1G01-3644	G1G01-3408	+
TU1G01-4300	G1G01-4018	+
TU1G01-732	G1G01-706 // G1G01-705	-
TU1G01-2594	G1G01-2440 // G1G01-2439	+
TU1G01-4986	G1G01-4708 // G1G01-4707	-
TU1G01-5648	G1G01-5330	+
TU1G01-6312	G1G01-5046	+
TU1G01-2940	G1G01-2735	+
TU1G01-1110	G1G01-1055 // G1G01-1054	+
TU1G01-1898	G1G01-1804 // G1G01-1803 // G1G01-1802 // G1G01-1801	+
TU1G01-3614	G1G01-3390	+
TU1G01-4272	G1G01-3984	-
TU1G01-7290	G1G01-620	+
TU1G01-2564	G1G01-2401	-
TU1G01-4958	G1G01-4689	+
TU1G01-562	G1G01-539 // G1G01-538 // G1G01-537 // G1G01-536	+
TU1G01-6282	G1G01-5197	-
TU1G01-2912	G1G01-2715	-
TU1G01-1080	G1G01-1014 // G1G01-1013 // G1G01-1012	+
TU1G01-1868	G1G01-1780	+
TU1G01-3586	G1G01-3372	+
TU1G01-4242	G1G01-3952	-
TU1G01-7260	G1G01-859	-
TU1G01-2536	G1G01-2383 // G1G01-2382 // G1G01-2381	+
TU1G01-4926	G1G01-4665	-
TU1G01-5592	G1G01-5277	-
TU1G01-6254	G1G01-5314	-
TU1G01-2882	G1G01-2691	-
TU1G01-1052	G1G01-991	+
TU1G01-184	G1G01-158 // G1G01-157 // G1G01-156	-
TU1G01-3552	G1G01-3336	-
TU1G01-4214	G1G01-3927	+
TU1G01-7232	G1G01-996	+
TU1G01-2506	G1G01-2351	+
TU1G01-4888	G1G01-4625	+
TU1G01-5562	G1G01-5248	+
TU1G01-6224	G1G01-5437	-
TU1G01-2854	G1G01-2673 // G1G01-2672	-
TU1G01-1022	G1G01-960	-
TU1G01-1810	G1G01-1721	+
TU1G01-3522	G1G01-3308	-
TU1G01-4186	G1G01-3902	-
TU1G01-7202	G1G01-1145	+
TU1G01-2478	G1G01-2322	+
TU1G01-4858	G1G01-4588	-
TU1G01-5534	G1G01-5222 // G1G01-5221	+
TU1G01-6198	G1G01-5507	+
TU1G01-2824	G1G01-2650	+
TU1G01-1782	G1G01-1695	+
TU1G01-3494	G1G01-3277	-
TU1G01-4158	G1G01-3888 // G1G01-3887	+
TU1G01-7176	G1G01-1214	+
TU1G01-2446	G1G01-2299 // G1G01-2298	-
TU1G01-4824	G1G01-4559 // G1G01-4558 // G1G01-4557 // G1G01-4556	+
TU1G01-5502	G1G01-5188 // G1G01-5187	-
TU1G01-6168	G1G01-5589	-
TU1G01-2798	G1G01-2623	-
TU1G01-1754	G1G01-1666 // G1G01-1665 // G1G01-1664 // G1G01-1663 // G1G01-1662	+
TU1G01-3464	G1G01-3248 // G1G01-3247 // G1G01-3246 // G1G01-3245 // G1G01-3244 // G1G01-3243 // G1G01-3242	+
TU1G01-1748	G1G01-1653	+
TU1G01-346	G1G01-306	-
TU1G01-4122	G1G01-3855 // G1G01-3854	+
TU1G01-7140	G1G01-1478	-
TU1G01-2412	G1G01-2271	+
TU1G01-4792	G1G01-4531 // G1G01-4530 // G1G01-4529 // G1G01-4528 // G1G01-4527	+
TU1G01-5468	G1G01-5159	+
TU1G01-6134	G1G01-5704	+
TU1G01-2762	G1G01-2596	-
TU1G01-172	G1G01-145	+
TU1G01-3430	G1G01-3200	+
TU1G01-4094	G1G01-3826	-
TU1G01-7112	G1G01-1613	+
TU1G01-2384	G1G01-2251	-
TU1G01-4762	G1G01-4491	-
TU1G01-544	G1G01-499	+
TU1G01-6104	G1G01-5747	-
TU1G01-1690	G1G01-1594	-
TU1G01-340	G1G01-303	-
TU1G01-7082	G1G01-1813	-
TU1G01-2356	G1G01-2230 // G1G01-2229 // G1G01-2228	-
TU1G01-4734	G1G01-4464	-
TU1G01-5410	G1G01-5105	-
TU1G01-6076	G1G01-5759	-
TU1G01-1660	G1G01-1565	+
TU1G01-3372	G1G01-3154	+
TU1G01-7054	G1G01-1921	-
TU1G01-2326	G1G01-2203 // G1G01-2202	+
TU1G01-4040	G1G01-3787 // G1G01-3786 // G1G01-3785	-
TU1G01-4704	G1G01-4424 // G1G01-4423	-
TU1G01-984	G1G01-917	+
TU1G01-5388	G1G01-5090	-
TU1G01-6046	G1G01-5705	-
TU1G01-1632	G1G01-1545	+
TU1G01-3342	G1G01-3126	+
TU1G01-7024	G1G01-1967	-
TU1G01-2298	G1G01-2182	-
TU1G01-4012	G1G01-3767	+
TU1G01-4676	G1G01-4384 // G1G01-4383	+
TU1G01-956	G1G01-892	+
TU1G01-536	G1G01-492	+
TU1G01-6018	G1G01-5682	-
TU1G01-1602	G1G01-1521 // G1G01-1520 // G1G01-1519	+
TU1G01-6680	G1G01-3670	-
TU1G01-3314	G1G01-3100 // G1G01-3099 // G1G01-3098	+
TU1G01-6998	G1G01-2099	+
TU1G01-2268	G1G01-2144	-
TU1G01-3986	G1G01-3746 // G1G01-3745	+
TU1G01-4646	G1G01-4363	-
TU1G01-926	G1G01-869 // G1G01-868 // G1G01-867	+
TU1G01-5326	G1G01-5031 // G1G01-5030 // G1G01-5029	-
TU1G01-5992	G1G01-5665 // G1G01-5664 // G1G01-5663	+
TU1G01-1576	G1G01-1497	-
TU1G01-6652	G1G01-3793	-
TU1G01-3284	G1G01-3077	-
TU1G01-6968	G1G01-2272	-
TU1G01-224	G1G01-184	-
TU1G01-3958	G1G01-3718 // G1G01-3717 // G1G01-3716 // G1G01-3715 // G1G01-3714 // G1G01-3713 // G1G01-3712 // G1G01-3711	-
TU1G01-4618	G1G01-4338 // G1G01-4337 // G1G01-4336	-
TU1G01-898	G1G01-843	+
TU1G01-5298	G1G01-5005	-
TU1G01-5962	G1G01-5636	-
TU1G01-1546	G1G01-1467	+
TU1G01-6622	G1G01-3879	-
TU1G01-3256	G1G01-3055	-
TU1G01-1430	G1G01-1346 // G1G01-1345 // G1G01-1344 // G1G01-1343 // G1G01-1342	-
TU1G01-694	G1G01-675 // G1G01-674 // G1G01-673 // G1G01-672	-
TU1G01-2210	G1G01-2094	+
TU1G01-3928	G1G01-3685 // G1G01-3684 // G1G01-3683 // G1G01-3682	+
TU1G01-4590	G1G01-4305	-
TU1G01-868	G1G01-817	-
TU1G01-5268	G1G01-4977	+
TU1G01-5934	G1G01-5615	-
TU1G01-1518	G1G01-1446 // G1G01-1445	+
TU1G01-6596	G1G01-3969	+
TU1G01-3226	G1G01-3033	-
TU1G01-1400	G1G01-1315	-
TU1G01-6910	G1G01-2506	-
TU1G01-2182	G1G01-2075	+
TU1G01-390	G1G01-347	+
TU1G01-4558	G1G01-4285 // G1G01-4284	+
TU1G01-84	G1G01-64 // G1G01-63 // G1G01-62	-
TU1G01-524	G1G01-478 // G1G01-477 // G1G01-476	+
TU1G01-5904	G1G01-5593 // G1G01-5592 // G1G01-5591	+
TU1G01-1488	G1G01-1410 // G1G01-1409	-
TU1G01-6566	G1G01-4047	+
TU1G01-32	G1G01-25	-
TU1G01-1374	G1G01-1293 // G1G01-1292	+
TU1G01-6880	G1G01-2605	-
TU1G01-2154	G1G01-2049	-
TU1G01-3870	G1G01-3638 // G1G01-3637	+
TU1G01-4526	G1G01-4252 // G1G01-4251	-
TU1G01-810	G1G01-759	-
TU1G01-5210	G1G01-4921 // G1G01-4920	+
TU1G01-5874	G1G01-5557	-
TU1G01-1458	G1G01-1382	-
TU1G01-6538	G1G01-4166	-
TU1G01-3170	G1G01-2975	+
TU1G01-1344	G1G01-1267	+
TU1G01-6852	G1G01-2718	-
TU1G01-2124	G1G01-2020 // G1G01-2019 // G1G01-2018	+
TU1G01-3840	G1G01-3608 // G1G01-3607	-
TU1G01-4498	G1G01-4226	-
TU1G01-782	G1G01-745	+
TU1G01-5182	G1G01-4891	+
TU1G01-5844	G1G01-5529	+
TU1G01-6508	G1G01-4278	-
TU1G01-3140	G1G01-2940 // G1G01-2939 // G1G01-2938 // G1G01-2937 // G1G01-2936	+
TU1G01-1316	G1G01-1247	+
TU1G01-6822	G1G01-2810	-
TU1G01-2096	G1G01-1990	-
TU1G01-3812	G1G01-3579 // G1G01-3578 // G1G01-3577 // G1G01-3576 // G1G01-3575	+
TU1G01-4468	G1G01-4202	+
TU1G01-754	G1G01-724 // G1G01-723	-
TU1G01-5154	G1G01-4860 // G1G01-4859	+
TU1G01-5816	G1G01-5497	-
TU1G01-648	G1G01-631 // G1G01-630 // G1G01-629 // G1G01-628 // G1G01-627 // G1G01-626	-
TU1G01-3112	G1G01-2909	-
TU1G01-1286	G1G01-1228	+
TU1G01-6796	G1G01-3070	-
TU1G01-2066	G1G01-1961	+
TU1G01-3784	G1G01-3556 // G1G01-3555	+
TU1G01-444	G1G01-405	+
TU1G01-7446	G1G01-4622	-
TU1G01-2732	G1G01-2566 // G1G01-2565	-
TU1G01-5124	G1G01-4832 // G1G01-4831	-
TU1G01-5788	G1G01-5470 // G1G01-5469	-
TU1G01-6450	G1G01-4562	+
TU1G01-3082	G1G01-2880 // G1G01-2879 // G1G01-2878	-
TU1G01-1256	G1G01-1201	+
TU1G01-6766	G1G01-3196	-
TU1G01-2038	G1G01-1940	+
TU1G01-3756	G1G01-3532 // G1G01-3531	+
TU1G01-4410	G1G01-4144 // G1G01-4143 // G1G01-4142 // G1G01-4141 // G1G01-4140	-
TU1G01-7428	G1G01-58	-
TU1G01-2702	G1G01-2537	-
TU1G01-5096	G1G01-4807	+
TU1G01-576	G1G01-550 // G1G01-549	+
TU1G01-6420	G1G01-4788	+
TU1G01-3052	G1G01-2851 // G1G01-2850 // G1G01-2849 // G1G01-2848	-
TU1G01-1226	G1G01-1175	+
TU1G01-6738	G1G01-3363	+
TU1G01-2008	G1G01-1909	+
TU1G01-3726	G1G01-3493 // G1G01-3492 // G1G01-3491 // G1G01-3490 // G1G01-3489	-
TU1G01-4382	G1G01-4104	-
TU1G01-740	G1G01-714	-
TU1G01-2674	G1G01-2502	-
TU1G01-5066	G1G01-4767	-
TU1G01-5730	G1G01-5405	-
TU1G01-6394	G1G01-4828	-
TU1G01-3020	G1G01-2826 // G1G01-2825	+
TU1G01-12	G1G01-5	-
TU1G01-6708	G1G01-3523	-
TU1G01-198	G1G01-168	+
TU1G01-3698	G1G01-3459	+
TU1G01-4354	G1G01-4082	-
TU1G01-7372	G1G01-290	+
TU1G01-2644	G1G01-2476 // G1G01-2475	+
TU1G01-5038	G1G01-4745 // G1G01-4744	-
TU1G01-5700	G1G01-5380 // G1G01-5379	-
TU1G01-6364	G1G01-4901	+
TU1G01-2994	G1G01-2786	-
TU1G01-1164	G1G01-1105 // G1G01-1104	+
TU1G01-1950	G1G01-1851 // G1G01-1850	-
TU1G01-3668	G1G01-3435 // G1G01-3434	-
TU1G01-4324	G1G01-4045	+
TU1G01-7342	G1G01-362	-
TU1G01-2616	G1G01-2459	+
TU1G01-5008	G1G01-4722 // G1G01-4721	+
TU1G01-5672	G1G01-5349	+
TU1G01-6336	G1G01-4949	+
TU1G01-2964	G1G01-2755 // G1G01-2754	-
TU1G01-1134	G1G01-1078	-
TU1G01-1920	G1G01-1827	-
TU1G01-3638	G1G01-3404	-
TU1G01-4296	G1G01-4016	-
TU1G01-7314	G1G01-530	-
TU1G01-2588	G1G01-2434 // G1G01-2433 // G1G01-2432	+
TU1G01-4980	G1G01-4703 // G1G01-4702	-
TU1G01-5642	G1G01-5327 // G1G01-5326	-
TU1G01-6306	G1G01-5058	-
TU1G01-2936	G1G01-2733	+
TU1G01-1104	G1G01-1050	-
TU1G01-1892	G1G01-1797	+
TU1G01-3608	G1G01-3387	+
TU1G01-4266	G1G01-3979 // G1G01-3978 // G1G01-3977 // G1G01-3976 // G1G01-3975 // G1G01-3974	-
TU1G01-7284	G1G01-664	-
TU1G01-256	G1G01-218	+
TU1G01-4952	G1G01-4685	+
TU1G01-5614	G1G01-5298	+
TU1G01-6278	G1G01-5211	+
TU1G01-2906	G1G01-2710	-
TU1G01-1076	G1G01-1010 // G1G01-1009 // G1G01-1008	+
TU1G01-1862	G1G01-1768	+
TU1G01-3580	G1G01-3367	-
TU1G01-4238	G1G01-3949	-
TU1G01-7256	G1G01-861	-
TU1G01-2530	G1G01-2377 // G1G01-2376	-
TU1G01-492	G1G01-451 // G1G01-450	+
TU1G01-5586	G1G01-5273	+
TU1G01-6248	G1G01-5319	-
TU1G01-2878	G1G01-2688	-
TU1G01-1046	G1G01-987 // G1G01-988	-
TU1G01-1834	G1G01-1740 // G1G01-1739	+
TU1G01-3546	G1G01-3331 // G1G01-3330 // G1G01-3329	+
TU1G01-4208	G1G01-3923	+
TU1G01-7226	G1G01-1047	-
TU1G01-2500	G1G01-2346 // G1G01-2345 // G1G01-2344 // G1G01-2343	-
TU1G01-4880	G1G01-4615 // G1G01-4614 // G1G01-4613	-
TU1G01-5558	G1G01-5244	-
TU1G01-622	G1G01-606 // G1G01-605 // G1G01-604 // G1G01-603 // G1G01-602 // G1G01-601 // G1G01-600	-
TU1G01-2848	G1G01-2669	-
TU1G01-1018	G1G01-958	-
TU1G01-1804	G1G01-1718	+
TU1G01-3518	G1G01-3305 // G1G01-3304	+
TU1G01-4180	G1G01-3899	+
TU1G01-72	G1G01-53	-
TU1G01-2472	G1G01-2319 // G1G01-2318	+
TU1G01-4852	G1G01-4584 // G1G01-4583	-
TU1G01-5528	G1G01-5217 // G1G01-5216 // G1G01-5215 // G1G01-5214	-
TU1G01-6192	G1G01-5521	+
TU1G01-282	G1G01-245 // G1G01-244 // G1G01-243 // G1G01-242 // G1G01-241	-
TU1G01-1778	G1G01-1693 // G1G01-1692 // G1G01-1691 // G1G01-1690	+
TU1G01-3488	G1G01-3273	-
TU1G01-4152	G1G01-3882	+
TU1G01-7170	G1G01-1294	-
TU1G01-2440	G1G01-2294 // G1G01-2293	-
TU1G01-482	G1G01-437 // G1G01-436 // G1G01-435	-
TU1G01-5498	G1G01-5185 // G1G01-5181 // G1G01-5184 // G1G01-5183 // G1G01-5182	+
TU1G01-6162	G1G01-5613	+
TU1G01-2792	G1G01-2619	+
TU1G01-6158	G1G01-5619	+
TU1G01-2786	G1G01-2611	-
TU1G01-1742	G1G01-1645	+
TU1G01-3454	G1G01-3225	+
TU1G01-4118	G1G01-3852 // G1G01-3851	-
TU1G01-7136	G1G01-1482	+
TU1G01-2406	G1G01-2268 // G1G01-2267	-
TU1G01-4786	G1G01-4520	+
TU1G01-5462	G1G01-5155 // G1G01-5154	+
TU1G01-6128	G1G01-5713	-
TU1G01-2758	G1G01-2594	-
TU1G01-1714	G1G01-1616 // G1G01-1615 // G1G01-1614	-
TU1G01-3424	G1G01-3194	+
TU1G01-4088	G1G01-3822 // G1G01-3821 // G1G01-3820 // G1G01-3819	-
TU1G01-7106	G1G01-1643	-
TU1G01-238	G1G01-199	-
TU1G01-4758	G1G01-4488	-
TU1G01-5434	G1G01-5122	+
TU1G01-610	G1G01-591	-
TU1G01-1684	G1G01-1590 // G1G01-1589 // G1G01-1588	+
TU1G01-3396	G1G01-3173	+
TU1G01-7078	G1G01-1828	+
TU1G01-2350	G1G01-2225 // G1G01-2224	+
TU1G01-4064	G1G01-3805	+
TU1G01-4728	G1G01-4453 // G1G01-4452 // G1G01-4451	-
TU1G01-5404	G1G01-5101	-
TU1G01-6070	G1G01-5752 // G1G01-5751 // G1G01-5750 // G1G01-5749	-
TU1G01-1656	G1G01-1563 // G1G01-1562	+
TU1G01-3366	G1G01-3146	+
TU1G01-7048	G1G01-1924	+
TU1G01-2320	G1G01-2199	-
TU1G01-4036	G1G01-3783	+
TU1G01-470	G1G01-425	-
TU1G01-98	G1G01-74	+
TU1G01-5382	G1G01-5086 // G1G01-5085 // G1G01-5084 // G1G01-5083	-
TU1G01-6040	G1G01-5697 // G1G01-5696	+
TU1G01-1626	G1G01-1540 // G1G01-1539	+
TU1G01-3338	G1G01-3122 // G1G01-3121	-
TU1G01-702	G1G01-681 // G1G01-680	+
TU1G01-2292	G1G01-2175 // G1G01-2174	+
TU1G01-4006	G1G01-3761 // G1G01-3760	-
TU1G01-4670	G1G01-4380	-
TU1G01-950	G1G01-889 // G1G01-888 // G1G01-887 // G1G01-886 // G1G01-885	+
TU1G01-5350	G1G01-5056	-
TU1G01-6012	G1G01-5679	-
TU1G01-16	G1G01-13 // G1G01-12 // G1G01-11 // G1G01-10	+
TU1G01-6676	G1G01-3728	-
TU1G01-3308	G1G01-3095 // G1G01-3094	-
TU1G01-6992	G1G01-2177	-
TU1G01-2262	G1G01-2141 // G1G01-2140	-
TU1G01-3980	G1G01-3740	-
TU1G01-4640	G1G01-4357 // G1G01-4356	-
TU1G01-920	G1G01-862	+
TU1G01-5320	G1G01-5024	+
TU1G01-5986	G1G01-5658	+
TU1G01-1570	G1G01-1494	+
TU1G01-6646	G1G01-3825	+
TU1G01-328	G1G01-293 // G1G01-292	-
TU1G01-6962	G1G01-2304	+
TU1G01-2234	G1G01-2117 // G1G01-2116	+
TU1G01-3952	G1G01-3705	+
TU1G01-4612	G1G01-4333	+
TU1G01-892	G1G01-839	-
TU1G01-5292	G1G01-5001 // G1G01-5000 // G1G01-4999	-
TU1G01-5958	G1G01-5634	+
TU1G01-1540	G1G01-1464	-
TU1G01-6618	G1G01-3907	+
TU1G01-3250	G1G01-3052	+
TU1G01-1424	G1G01-1337	+
TU1G01-6934	G1G01-2378	+
TU1G01-2204	G1G01-2089 // G1G01-2088	-
TU1G01-3922	G1G01-3678 // G1G01-3677	+
TU1G01-4584	G1G01-4300	-
TU1G01-862	G1G01-811 // G1G01-810 // G1G01-809 // G1G01-808 // G1G01-807	+
TU1G01-5262	G1G01-4972	-
TU1G01-5928	G1G01-5611 // G1G01-5610	-
TU1G01-1512	G1G01-1442	+
TU1G01-6590	G1G01-3995	-
TU1G01-3220	G1G01-3030	-
TU1G01-1398	G1G01-1314	-
TU1G01-6904	G1G01-2516	+
TU1G01-2178	G1G01-2073 // G1G01-2072	+
TU1G01-3894	G1G01-3655	-
TU1G01-4552	G1G01-4280	+
TU1G01-834	G1G01-779	+
TU1G01-5234	G1G01-4947	-
TU1G01-590	G1G01-576	-
TU1G01-1482	G1G01-1403 // G1G01-1402	+
TU1G01-6560	G1G01-4069	+
TU1G01-3194	G1G01-3003 // G1G01-3002 // G1G01-3001	-
TU1G01-1368	G1G01-1287 // G1G01-1286 // G1G01-1285	-
TU1G01-6876	G1G01-2615	+
TU1G01-2148	G1G01-2046	+
TU1G01-3864	G1G01-3633	-
TU1G01-4520	G1G01-4245 // G1G01-4244	+
TU1G01-804	G1G01-756	+
TU1G01-5204	G1G01-4912	-
TU1G01-5868	G1G01-5551	+
TU1G01-1452	G1G01-1377	+
TU1G01-6532	G1G01-4173	-
TU1G01-3164	G1G01-2970	-
TU1G01-134	G1G01-110 // G1G01-109 // G1G01-108	+
TU1G01-6846	G1G01-2728	+
TU1G01-212	G1G01-175	-
TU1G01-3836	G1G01-3604	+
TU1G01-4492	G1G01-4223	+
TU1G01-778	G1G01-743	-
TU1G01-5178	G1G01-4886 // G1G01-4885 // G1G01-4884 // G1G01-4883	-
TU1G01-584	G1G01-561 // G1G01-560 // G1G01-559	-
TU1G01-6502	G1G01-4327	-
TU1G01-3136	G1G01-2934	+
TU1G01-1310	G1G01-1243 // G1G01-1242 // G1G01-1241	+
TU1G01-6818	G1G01-2876	+
TU1G01-2090	G1G01-1981 // G1G01-1980	+
TU1G01-3806	G1G01-3571	+
TU1G01-4462	G1G01-4198	+
TU1G01-748	G1G01-720	+
TU1G01-5148	G1G01-4854	-
TU1G01-5810	G1G01-5493	-
TU1G01-6474	G1G01-4443	+
TU1G01-3106	G1G01-2906	-
TU1G01-1280	G1G01-1224	+
TU1G01-6790	G1G01-3080	+
TU1G01-2060	G1G01-1954	-
TU1G01-378	G1G01-338	-
TU1G01-4434	G1G01-4175 // G1G01-4174	+
TU1G01-7443	G1G01-2777 // G1G01-2778	-
TU1G01-2726	G1G01-2560 // G1G01-2559	+
TU1G01-512	G1G01-469	+
TU1G01-5782	G1G01-5466 // G1G01-5465 // G1G01-5464	+
TU1G01-6444	G1G01-4572	+
TU1G01-3078	G1G01-2875 // G1G01-2874	-
TU1G01-1250	G1G01-1194	-
TU1G01-6760	G1G01-3204	+
TU1G01-2032	G1G01-1935	+
TU1G01-3750	G1G01-3527	+
TU1G01-4404	G1G01-4131	-
TU1G01-7422	G1G01-84	-
TU1G01-2698	G1G01-2535	+
TU1G01-5090	G1G01-4803	-
TU1G01-5754	G1G01-5430	-
TU1G01-6416	G1G01-4790	+
TU1G01-3044	G1G01-2843	+
TU1G01-1220	G1G01-1172	-
TU1G01-6732	G1G01-3400	+
TU1G01-2002	G1G01-1905 // G1G01-1904 // G1G01-1903 // G1G01-1902	+
TU1G01-3720	G1G01-3481	+
TU1G01-4378	G1G01-4100	+
TU1G01-7396	G1G01-201	+
TU1G01-2668	G1G01-2497	+
TU1G01-5060	G1G01-4760	-
TU1G01-5724	G1G01-5401	+
TU1G01-6388	G1G01-4835	-
TU1G01-3016	G1G01-2823	+
TU1G01-1188	G1G01-1144	-
TU1G01-6702	G1G01-3550	-
TU1G01-1974	G1G01-1871 // G1G01-1870	+
TU1G01-3692	G1G01-3454	-
TU1G01-4348	G1G01-4078	-
TU1G01-7366	G1G01-298	-
TU1G01-264	G1G01-222	-
TU1G01-5032	G1G01-4740	-
TU1G01-5696	G1G01-5376 // G1G01-5375 // G1G01-5374	-
TU1G01-636	G1G01-616	+
TU1G01-2988	G1G01-2781	+
TU1G01-116	G1G01-95	-
TU1G01-1944	G1G01-1847	+
TU1G01-3662	G1G01-3425 // G1G01-3424 // G1G01-3423	+
TU1G01-432	G1G01-394	-
TU1G01-7338	G1G01-389	+
TU1G01-2610	G1G01-2456	+
TU1G01-5002	G1G01-4717	+
TU1G01-5666	G1G01-5346	+
TU1G01-6330	G1G01-4957	-
TU1G01-296	G1G01-256	+
TU1G01-1128	G1G01-1070	-
TU1G01-1916	G1G01-1820	-
TU1G01-3632	G1G01-3401	-
TU1G01-4290	G1G01-4009 // G1G01-4008 // G1G01-4007	+
TU1G01-7308	G1G01-551	-
TU1G01-2582	G1G01-2426 // G1G01-2425	+
TU1G01-4976	G1G01-4700	+
TU1G01-5638	G1G01-5324	+
TU1G01-6300	G1G01-5061	+
TU1G01-2930	G1G01-2729	-
TU1G01-110	G1G01-90	+
TU1G01-1886	G1G01-1793	-
TU1G01-3602	G1G01-3380	+
TU1G01-4260	G1G01-3968 // G1G01-3967 // G1G01-3966	-
TU1G01-728	G1G01-703	+
TU1G01-2554	G1G01-2394	+
TU1G01-4946	G1G01-4678	-
TU1G01-5608	G1G01-5295	+
TU1G01-6272	G1G01-5251	-
TU1G01-2900	G1G01-2705	+
TU1G01-1070	G1G01-1003	-
TU1G01-1858	G1G01-1766	+
TU1G01-3572	G1G01-3361 // G1G01-3360 // G1G01-3359 // G1G01-3358 // G1G01-3350 // G1G01-3357 // G1G01-3356 // G1G01-3355 // G1G01-3354 // G1G01-3353 // G1G01-3352 // G1G01-3351	+
TU1G01-4232	G1G01-3940	-
TU1G01-7250	G1G01-902	-
TU1G01-2524	G1G01-2371	-
TU1G01-4910	G1G01-4651	-
TU1G01-5580	G1G01-5268 // G1G01-5267	-
