Transcription-Units	Direction	Genes of transcription unit
TU8J2-16805	-	BSU27540
TU8J2-1026	+	BSU07430
TU8J2-185	+	BSU13620 // BSU13610 // BSU13600 // BSU13590
TU8J2-522	-	BSU30500
TU8J2-16563	-	BSU20480
TU8J2-915	+	BSU10660 // BSU10650 // BSU10640
TU8J2-16893	-	BSU32150 // BSU32140
TU8J2-16972	-	BSU35530
TU8J2-848	+	BSU14610 // BSU14600 // BSU14590 // BSU14580
TU8J2-16191	+	BSU08910
TU8J2-16980	+	BSU_36079
TU8J2-947	-	BSU09430
TU8J2-16845	-	BSU29960 // BSU29950
TU8J2-16469	-	BSU18500
TU8J2-15940	-	BSU29805
TU8J2-16719	-	BSU25410 // BSU25400
TU8J2-16597	+	BSU21040 // BSU21030
TU8J2-16670	-	BSU22990
TU8J2-362	-	BSU37110 // BSU37120
TU8J2-16341	+	G8J2-10
TU8J2-642	+	BSU26670
TU8J2-16745	-	BSU26360
TU8J2-65	+	BSU22240
TU8J2-17079	-	BSU05040
TU8J2-292	-	BSU38810 // BSU38820
TU8J2-17317	+	BSU36330
TU8J2-15886	-	BSU04430
TU8J2-57	+	BSU38540 // BSU38530 // BSU38520 // BSU38510 // BSU38500
TU8J2-16454	+	BSU18019
TU8J2-538	-	BSU29900
TU8J2-1015	+	BSU07650 // BSU07630
TU8J2-17224	+	BSU23320
TU8J2-17243	+	BSU26230
TU8J2-525	+	BSU30360
TU8J2-254	+	BSU39810
TU8J2-401	-	BSU36140
TU8J2-16030	+	BSU02300
TU8J2-865	+	BSU13850
TU8J2-297	-	BSU38730 // BSU38740 // BSU38750 // BSU38760
TU8J2-1235	-	BSU35610 // BSU35540 // BSU35550 // BSU35560 // BSU35570 // BSU35580 // BSU35590 // BSU35600
TU8J2-16071	+	BSU04780
TU8J2-1122	+	BSU03359 // BSU03360 // BSU03350 // BSU03340
TU8J2-17182	+	BSU18620
TU8J2-999	+	BSU08050 // BSU08040
TU8J2-16850	-	BSU30310
TU8J2-876	+	BSU13330 // BSU13320
TU8J2-16219	+	BSU10060 // BSU10050 // BSU10040
TU8J2-17287	+	BSU32320
TU8J2-636	-	BSU27180
TU8J2-16728	-	BSU25920
TU8J2-263	-	BSU39550 // BSU39560 // BSU39570
TU8J2-16133	+	BSU06120
TU8J2-16105	+	BSU05510
TU8J2-1580	-	BSU24180 // BSU24190 // BSU24200
TU8J2-16142	+	BSU06410 // BSU06400
TU8J2-15964	+	BSU00350 // BSU00340
TU8J2-16243	+	BSU10840 // BSU10830
TU8J2-16091	-	BSU05230
TU8J2-629	-	BSU27610 // BSU27620
TU8J2-16858	-	BSU30690
TU8J2-17259	+	BSU29260
TU8J2-23	+	BSU03130
TU8J2-16766	-	BSU26650
TU8J2-16343	+	BSU14200
TU8J2-738	-	BSU22020
TU8J2-1181	+	BSU01530 // BSU01520
TU8J2-15934	-	BSU40700
TU8J2-15924	+	BSU15650
TU8J2-742	+	BSU21950
TU8J2-753	-	BSU21720
TU8J2-16661	-	BSU22840 // BSU22830
TU8J2-170	-	BSU10960
TU8J2-219	-	BSU40540
TU8J2-1135	+	BSU03030
TU8J2-1298	+	BSU03359 // BSU03360
TU8J2-15969	+	BSU00550
TU8J2-17018	+	BSU38330 // BSU38320
TU8J2-89	+	BSU13620 // BSU13610 // BSU13600 // BSU13590
TU8J2-847	+	BSU14740 // BSU14730 // BSU14720 // BSU14710
TU8J2-361	-	BSU37130
TU8J2-909	+	BSU11470 // BSU11460 // BSU11450 // BSU11440 // BSU11430
TU8J2-17046	-	BSU40359
TU8J2-1161	+	BSU02290 // BSU02280 // BSU02270
TU8J2-16738	-	BSU26250
TU8J2-17059	-	BSU40860 // BSU40850
TU8J2-16955	+	BSU34500 // BSU34490
TU8J2-695	-	BSU23810
TU8J2-756	-	BSU21680
TU8J2-982	-	BSU08440
TU8J2-17075	-	BSU04240
TU8J2-16310	+	BSU13290
TU8J2-829	-	BSU15960
TU8J2-2974	+	BSU15120 // BSU15110
TU8J2-3003	-	BSU39110
TU8J2-148	-	BSU09810
TU8J2-744	+	BSU21910
TU8J2-381	-	BSU36640 // BSU36650 // BSU36660
TU8J2-582	+	BSU28890
TU8J2-3033	+	BSU12890 // BSU12880
TU8J2-884	+	BSU12960 // BSU12950 // BSU12940 // BSU12930 // BSU12920
TU8J2-554	-	BSU29550
TU8J2-16984	-	BSU36269
TU8J2-726	-	BSU22770 // BSU22780
TU8J2-16944	-	BSU33980
TU8J2-16755	-	BSU26490
TU8J2-16097	+	BSU05329
TU8J2-1391	+	BSU12100
TU8J2-16055	+	BSU04140
TU8J2-17019	+	BSU38350 // BSU38340
TU8J2-1214	+	BSU00070
TU8J2-587	-	BSU28700
TU8J2-223	+	BSU40450
TU8J2-16654	-	BSU22580
TU8J2-895	-	BSU12110
TU8J2-16368	+	BSU14830
TU8J2-16667	-	BSU22950
TU8J2-16673	-	BSU23030 // BSU23020
TU8J2-2949	+	BSU12000
TU8J2-553	-	BSU29570
TU8J2-697	-	BSU23750 // BSU23760 // BSU23770 // BSU23780 // BSU23790
TU8J2-641	-	BSU26680 // BSU26690 // BSU26700 // BSU26710 // BSU26720
TU8J2-916	+	BSU10630 // BSU10620
TU8J2-16535	-	BSU19980
TU8J2-16490	-	BSU18890
TU8J2-1147	-	BSU02740
TU8J2-15951	+	BSU02310
TU8J2-3040	+	G8J2-183
TU8J2-17146	-	BSU12200
TU8J2-16106	-	BSU05520
TU8J2-339	-	BSU37660
TU8J2-15901	-	BSU12240 // BSU12250
TU8J2-16238	-	BSU10580
TU8J2-824	+	BSU16120
TU8J2-16869	-	BSU31130
TU8J2-16877	+	BSU31480
TU8J2-1156	+	BSU02560 // BSU02550
TU8J2-17221	-	BSU22300
TU8J2-16907	-	BSU_MISC_RNA_84
TU8J2-917	-	BSU10610
TU8J2-281	-	G8J2-180 // BSU39010
TU8J2-519	+	BSU30560
TU8J2-16557	-	BSU20380 // BSU20370 // BSU20360 // BSU20350 // BSU20340 // BSU20330
TU8J2-1311	+	BSU06839
TU8J2-16227	-	BSU10220
TU8J2-17200	+	BSU19550
TU8J2-17242	+	BSU_26055
TU8J2-440	-	BSU34430 // BSU34440
TU8J2-1258	-	BSU11010
TU8J2-16120	+	BSU05940 // BSU05930 // BSU05920 // BSU05910 // BSU05900
TU8J2-16158	+	BSU06860
TU8J2-487	+	BSU31520 // BSU31530
TU8J2-16636	+	BSU21990 // BSU21980
TU8J2-16249	-	BSU11020
TU8J2-17163	-	BSU13940
TU8J2-333	+	BSU37920
TU8J2-368	-	BSU36960
TU8J2-205	-	BSU40940
TU8J2-1579	+	BSU04310 // BSU04300 // BSU04290 // BSU04280 // BSU04270
TU8J2-704	+	BSU23590
TU8J2-324	-	BSU38100 // BSU38110
TU8J2-21	+	BSU35650
TU8J2-16900	-	BSU32360
TU8J2-218	+	BSU40550
TU8J2-465	-	BSU32570 // BSU32580 // BSU32590 // BSU32600 // BSU32610 // BSU32620 // BSU32630
TU8J2-17260	+	BSU29540
TU8J2-17123	+	BSU09980
TU8J2-17281	+	BSU32110
TU8J2-16350	+	BSU14440
TU8J2-24	-	BSU38100 // BSU38110
TU8J2-296	+	BSU38770
TU8J2-427	-	BSU35400 // BSU35410 // BSU35420 // BSU35430 // BSU35440 // BSU35450 // BSU35460 // BSU35470
TU8J2-16996	-	BSU36940
TU8J2-586	-	BSU28720 // BSU28730 // BSU28740 // BSU28750 // BSU28760 // BSU28770 // BSU28780 // BSU28790 // BSU28800
TU8J2-1139	-	BSU02970
TU8J2-16720	-	BSU25560
TU8J2-16206	+	BSU09640
TU8J2-620	-	BSU27940
TU8J2-17126	+	BSU10590
TU8J2-17283	+	BSU32200
TU8J2-1218	+	BSU11340 // BSU11330
TU8J2-110	-	BSU19560 // BSU19570
TU8J2-165	-	BSU05550 // BSU05560 // BSU05570
TU8J2-228	-	BSU40320 // BSU40330 // BSU40340
TU8J2-15893	-	BSU35160 // BSU35170
TU8J2-15880	-	BSU18370
TU8J2-392	+	BSU36450
TU8J2-2948	+	BSU12030 // BSU12020 // BSU12010
TU8J2-16543	-	BSU_MISC_RNA_33
TU8J2-54	-	BSU25200 // BSU25210 // BSU25230
TU8J2-1182	+	BSU01070
TU8J2-16028	+	BSU02250
TU8J2-16867	-	BSU31110
TU8J2-16658	-	BSU22730
TU8J2-17064	+	BSU01560
TU8J2-16309	+	BSU13280
TU8J2-1224	+	BSU16800
TU8J2-3038	+	BSU13330
TU8J2-16642	-	BSU22170
TU8J2-393	-	BSU36390 // BSU36400 // BSU36410 // BSU36420 // BSU36430
TU8J2-1510	+	BSU29850
TU8J2-58	+	BSU17030
TU8J2-300	-	BSU38650 // BSU38660 // BSU38670 // BSU38680 // BSU38690 // BSU38700
TU8J2-17209	-	BSU20510
TU8J2-113	+	BSU19490
TU8J2-186	+	BSU13580
TU8J2-16000	+	BSU_RRNA_14
TU8J2-1194	+	BSU00520 // BSU00510 // BSU00500
TU8J2-16993	-	BSU36770
TU8J2-17060	-	BSU40930
TU8J2-16830	-	BSU28820
TU8J2-17073	-	BSU04039
TU8J2-513	-	BSU30780 // BSU30790 // BSU30800 // BSU30810 // BSU30820 // BSU30830
TU8J2-321	-	BSU38150 // BSU38160 // BSU38170 // BSU38140
TU8J2-16344	+	BSU14220
TU8J2-220	+	BSU40530
TU8J2-1037	+	BSU06930 // BSU06920 // BSU06910 // BSU06900 // BSU06890
TU8J2-1120	+	BSU03400
TU8J2-241	+	BSU40021 // BSU40022
TU8J2-17113	-	BSU09210
TU8J2-291	+	BSU38830
TU8J2-1008	-	BSU07910
TU8J2-16359	+	BSU14629
TU8J2-16942	+	BSU33860
TU8J2-16045	+	BSU03190
TU8J2-768	+	BSU19200 // BSU19190
TU8J2-142	-	BSU20430 // BSU20440
TU8J2-3010	+	BSU30300 // BSU30290 // BSU30280 // BSU30270 // BSU30260
TU8J2-17010	-	BSU37610
TU8J2-15998	+	BSU01540
TU8J2-92	-	BSU29200 // BSU29210
TU8J2-888	+	BSU12539 // BSU12550 // BSU12540 // BSU12530 // BSU12520
TU8J2-16584	+	BSU20928
TU8J2-16723	-	BSU_MISC_RNA_80
TU8J2-135	-	BSU29230
TU8J2-16562	-	BSU20470
TU8J2-16212	+	BSU09800
TU8J2-920	-	BSU10450 // BSU10460
TU8J2-15900	+	BSU12440 // BSU12430
TU8J2-791	+	BSU18010
TU8J2-16957	-	BSU34630
TU8J2-16726	+	BSU_25875
TU8J2-16296	-	G8J2-162
TU8J2-16299	+	BSU13060
TU8J2-15935	+	BSU27150
TU8J2-16967	+	BSU35210 // BSU35200
TU8J2-813	+	BSU17050 // BSU17040
TU8J2-16129	+	BSU06049
TU8J2-1130	+	BSU03120
TU8J2-17088	-	BSU05360
TU8J2-15864	+	BSU00520
TU8J2-16496	-	G8J2-164
TU8J2-16198	-	BSU09390
TU8J2-16420	+	BSU17090
TU8J2-1082	-	BSU04370 // BSU04380
TU8J2-355	-	BSU37230
TU8J2-16798	-	BSU27320
TU8J2-17183	+	BSU18700
TU8J2-674	+	BSU24500 // BSU24490
TU8J2-1197	+	BSU00450
TU8J2-252	+	BSU39840
TU8J2-816	+	BSU16950
TU8J2-191	-	BSU18280
TU8J2-1086	+	BSU04220 // BSU04210 // BSU04200 // BSU04190
TU8J2-597	-	BSU28500
TU8J2-221	-	BSU40500 // BSU40510 // BSU40520
TU8J2-16764	-	BSU26620 // BSU26619
TU8J2-16979	+	BSU36030
TU8J2-16868	-	BSU31120
TU8J2-111	+	BSU05500 // BSU05490 // BSU05480
TU8J2-33	+	BSU_TRNA_44 // BSU_TRNA_43 // BSU_TRNA_42 // BSU_TRNA_41 // BSU_TRNA_40 // BSU_TRNA_39 // BSU_TRNA_38 // BSU_TRNA_37 // BSU_TRNA_36 // BSU_TRNA_35 // BSU_TRNA_34 // BSU_TRNA_33 // BSU_TRNA_32 // BSU_TRNA_31 // BSU_TRNA_30 // BSU_TRNA_29 // BSU_RRNA_18 // BSU_RRNA_17 // BSU_RRNA_22
TU8J2-16112	-	BSU05670 // BSU05660
TU8J2-16843	-	BSU29890
TU8J2-1216	+	BSU00020 // BSU00010
TU8J2-16671	-	BSU23000
TU8J2-17138	-	BSU11549
TU8J2-16402	+	BSU16670 // BSU16660
TU8J2-1021	+	BSU07550
TU8J2-15994	+	BSU01480 // BSU01470 // BSU01460 // BSU01450
TU8J2-16136	-	BSU06269
TU8J2-1422	-	BSU15100
TU8J2-16995	-	BSU36930
TU8J2-843	+	BSU14930 // BSU14920 // BSU14910 // BSU14900 // BSU14890 // BSU14880
TU8J2-271	-	BSU39280 // BSU39290 // BSU39300
TU8J2-1238	-	BSU05890 // BSU05899
TU8J2-13	-	BSU01600 // BSU01610 // BSU01620 // BSU01630
TU8J2-16939	+	BSU33680
TU8J2-162	-	BSU21440 // BSU21450 // BSU21460 // BSU21470
TU8J2-143	+	BSU18960
TU8J2-16388	+	BSU15800
TU8J2-16566	-	BSU20540 // BSU20530
TU8J2-337	-	BSU37750
TU8J2-16407	+	BSU16825
TU8J2-1207	+	BSU00230
TU8J2-793	-	BSU17980 // BSU17990
TU8J2-17180	+	BSU18410
TU8J2-798	+	BSU17910 // BSU17900
TU8J2-1293	+	BSU38020
TU8J2-1432	+	BSU18380
TU8J2-929	+	BSU10290
TU8J2-502	-	BSU31240 // BSU31250
TU8J2-60	+	BSU26390 // BSU25760
TU8J2-2994	+	G8J2-160
TU8J2-16171	+	BSU07410
TU8J2-701	+	BSU23640
TU8J2-16492	+	BSU18908
TU8J2-16074	+	BSU05030
TU8J2-1223	+	BSU10270
TU8J2-387	+	BSU36530
TU8J2-17083	-	BSU05170
TU8J2-474	-	BSU31960 // BSU31970 // BSU31980 // BSU31990 // BSU32000
TU8J2-887	+	BSU12649 // BSU12619 // BSU12660 // BSU12650 // BSU12640 // BSU12630 // BSU12620 // BSU12610 // BSU12600 // BSU12590 // BSU12580 // BSU12570
TU8J2-16834	-	BSU29030
TU8J2-17286	+	BSU32280
TU8J2-16060	+	BSU04320
TU8J2-984	-	BSU08410
TU8J2-17045	-	BSU40259
TU8J2-16401	+	BSU_MISC_RNA_71
TU8J2-830	+	BSU15950 // BSU15940 // BSU15930
TU8J2-16765	-	BSU26640
TU8J2-1273	-	BSU11550 // BSU11560
TU8J2-639	-	BSU_27035 // BSU27030 // BSU27040 // BSU27050 // BSU27060 // BSU27070
TU8J2-16101	+	BSU05350
TU8J2-66	-	BSU27300 // BSU27310
TU8J2-349	+	BSU37470 // BSU37460
TU8J2-16294	+	BSU12560
TU8J2-16962	-	BSU34850 // BSU34840 // BSU34830
TU8J2-16395	+	BSU16080 // BSU16070
TU8J2-16943	+	BSU33870
TU8J2-16017	+	BSU01889
TU8J2-16558	-	BSU20390
TU8J2-386	-	BSU36540
TU8J2-395	-	BSU36360
TU8J2-269	-	BSU39330
TU8J2-17040	-	BSU39830
TU8J2-16913	-	BSU32810
TU8J2-1085	+	BSU04250
TU8J2-16693	-	BSU24510
TU8J2-16411	+	BSU16900 // BSU16890
TU8J2-16552	-	BSU20200
TU8J2-558	-	BSU29480
TU8J2-16222	-	BSU10090
TU8J2-16948	-	BSU34020
TU8J2-3013	-	BSU31050 // BSU31060
TU8J2-1291	+	G8J2-7
TU8J2-1049	-	BSU06240
TU8J2-17122	-	BSU09965
TU8J2-17423	+	BSU34480
TU8J2-1264	+	BSU_TRNA_20 // BSU_TRNA_19 // BSU_TRNA_18 // BSU_TRNA_17 // BSU_TRNA_16 // BSU_TRNA_15 // BSU_TRNA_14 // BSU_TRNA_13 // BSU_TRNA_12 // BSU_RRNA_8 // BSU_RRNA_7 // BSU_RRNA_6
TU8J2-17204	+	BSU19810
TU8J2-504	+	BSU31170
TU8J2-16985	-	BSU36320
TU8J2-17321	+	BSU36790
TU8J2-17319	+	BSU36590
TU8J2-141	+	BSU21520
TU8J2-16412	+	BSU16960
TU8J2-776	-	BSU18720
TU8J2-1059	+	BSU05830
TU8J2-17030	-	BSU39029
TU8J2-17304	+	BSU34000
TU8J2-1079	-	BSU04430 // BSU04440
TU8J2-6	-	BSU13700
TU8J2-232	-	BSU40250
TU8J2-713	-	BSU23300
TU8J2-16933	-	BSU33450
TU8J2-16459	-	BSU_18109
TU8J2-712	-	BSU23310
TU8J2-17196	-	BSU19340
TU8J2-16849	-	BSU30135 // BSU30120 // BSU30110 // BSU30100 // BSU30090
TU8J2-2986	+	BSU16920 // BSU16910
TU8J2-237	-	BSU40110 // BSU40120
TU8J2-15930	+	BSU06150
TU8J2-834	+	BSU15330 // BSU15320 // BSU15310
TU8J2-17105	-	BSU08740
TU8J2-16353	+	BSU14520
TU8J2-1206	+	BSU_RRNA_26 // BSU_RRNA_5 // BSU_TRNA_9 // BSU_TRNA_8 // BSU_RRNA_4
TU8J2-15919	-	BSU25490
TU8J2-978	-	BSU08490 // BSU08500 // BSU08510
TU8J2-16988	+	BSU_36575
TU8J2-17032	-	BSU39090
TU8J2-352	-	BSU37310 // BSU37320
TU8J2-1176	+	BSU_TRNA_74 // BSU_TRNA_77 // BSU_TRNA_76 // BSU_TRNA_78 // BSU_TRNA_75
TU8J2-1499	-	BSU27000
TU8J2-17091	+	BSU05390
TU8J2-966	-	BSU08760
TU8J2-370	-	BSU36900
TU8J2-247	-	BSU39940 // BSU39950
TU8J2-16711	-	BSU25100
TU8J2-1173	+	BSU01820 // BSU01810
TU8J2-16596	-	BSU21020
TU8J2-449	-	BSU33430 // BSU33440
TU8J2-17327	+	BSU40570
TU8J2-17246	+	BSU26850
TU8J2-16905	-	BSU32669
TU8J2-1239	+	BSU07700
TU8J2-17152	-	BSU13050
TU8J2-936	+	BSU09840
TU8J2-204	+	BSU40950
TU8J2-736	-	BSU22060 // BSU22070
TU8J2-277	-	BSU39070 // BSU39080
TU8J2-16681	-	BSU23560 // BSU23550
TU8J2-1018	+	BSU07600 // BSU07590 // BSU07580
TU8J2-790	+	BSU18030 // BSU18020
TU8J2-707	-	BSU23520
TU8J2-489	+	BSU31460 // BSU31450
TU8J2-283	+	BSU38960
TU8J2-16880	-	BSU31780
TU8J2-981	+	BSU08460 // BSU08450
TU8J2-16526	-	BSU19680
TU8J2-16524	-	BSU19660
TU8J2-1014	-	BSU07710
TU8J2-168	-	BSU17640
TU8J2-3001	+	BSU27020 // BSU27010
TU8J2-314	-	BSU38380
TU8J2-478	-	BSU31740
TU8J2-16372	+	BSU_MISC_RNA_23
TU8J2-781	-	BSU18590
TU8J2-16421	-	BSU17230
TU8J2-169	+	BSU15650
TU8J2-572	-	BSU29120 // BSU29130 // BSU29140
TU8J2-16275	-	BSU11900
TU8J2-931	+	BSU10140 // BSU10130 // BSU10120
TU8J2-760	+	BSU19790 // BSU19780
TU8J2-1175	+	BSU01740 // BSU01730
TU8J2-16613	+	BSU21390
TU8J2-16700	-	BSU24840
TU8J2-379	-	BSU36690
TU8J2-405	-	BSU36060
TU8J2-15973	+	BSU00710 // BSU00700
TU8J2-17330	+	BSU05990 // BSU05980
TU8J2-16246	-	BSU10870
TU8J2-17015	-	BSU38220 // BSU38210
TU8J2-16023	-	BSU02180
TU8J2-16465	-	BSU18290
TU8J2-1081	+	BSU04390
TU8J2-495	-	BSU31370
TU8J2-1210	-	BSU00140 // BSU00150
TU8J2-16536	-	BSU19999 // BSU19990
TU8J2-16476	-	BSU18640
TU8J2-16276	+	BSU11929 // BSU11928
TU8J2-16361	+	BSU14680 // BSU14670
TU8J2-16946	-	BSU34010
TU8J2-970	+	BSU08660 // BSU08650 // BSU08630
TU8J2-804	-	BSU17700
TU8J2-17237	+	BSU25550
TU8J2-30	-	BSU41060
TU8J2-1074	+	BSU04600 // BSU04590
TU8J2-624	-	BSU27850 // BSU27860 // BSU27870
TU8J2-16485	-	BSU18810
TU8J2-16788	-	BSU_26935
TU8J2-16975	-	BSU35698
TU8J2-34	+	BSU_RRNA_3 // BSU_RRNA_2 // BSU_TRNA_6 // BSU_TRNA_5 // BSU_RRNA_1
TU8J2-16235	+	BSU10500
TU8J2-1304	-	BSU28850 // BSU28860 // BSU28870
TU8J2-694	+	BSU23820
TU8J2-17217	+	G8J2-16
TU8J2-964	-	BSU08820
TU8J2-1270	+	BSU33239
TU8J2-16885	-	BSU31840
TU8J2-326	-	BSU38070
TU8J2-16827	+	BSU28670
TU8J2-803	+	BSU17770 // BSU17760 // BSU17750
TU8J2-17047	-	BSU_TRNA_4 // BSU_TRNA_3 // BSU_TRNA_2 // BSU_TRNA_1
TU8J2-16630	+	BSU21660
TU8J2-17229	+	BSU24800
TU8J2-1154	+	BSU02610
TU8J2-1083	-	BSU04360
TU8J2-16529	-	BSU19830 // BSU19820
TU8J2-98	-	BSU12840 // BSU12850
TU8J2-16871	-	BSU31150
TU8J2-16770	-	BSU26750 // BSU26749 // BSU26748
TU8J2-16374	+	BSU15050 // BSU15040
TU8J2-907	-	BSU11510
TU8J2-17082	+	BSU05160
TU8J2-17213	+	BSU20580
TU8J2-16507	+	BSU19170
TU8J2-308	-	BSU38480
TU8J2-17199	-	BSU19540
TU8J2-16853	+	BSU30490 // BSU30480
TU8J2-16467	-	BSU_TRNA_85
TU8J2-546	-	BSU29670
TU8J2-17432	-	BSU31959
TU8J2-1281	-	BSU_MISC_RNA_55 // BSU33600 // BSU33610 // BSU33620 // BSU33630
TU8J2-17324	+	BSU37540
TU8J2-16293	+	BSU12490
TU8J2-3037	-	BSU04800 // BSU04810 // BSU04820
TU8J2-15908	-	BSU30370 // BSU30380
TU8J2-17156	-	BSU13370
TU8J2-16860	+	BSU30739
TU8J2-226	-	BSU40360 // BSU40370 // BSU40380 // BSU40390 // BSU40400 // BSU40410
TU8J2-764	-	BSU19290
TU8J2-479	+	BSU31730
TU8J2-466	-	BSU32520 // BSU32530
TU8J2-16583	-	BSU20920 // BSU20910 // BSU20900 // BSU20890 // BSU20880 // BSU20870
TU8J2-16570	-	BSU20630 // BSU20620
TU8J2-763	-	BSU19360 // BSU19370
TU8J2-16586	-	BSU20930
TU8J2-16604	+	BSU21230 // BSU21229 // BSU21220
TU8J2-837	+	BSU15170
TU8J2-445	-	BSU33960
TU8J2-585	-	BSU28810
TU8J2-16149	+	BSU06750
TU8J2-777	-	BSU18670
TU8J2-979	+	BSU08480
TU8J2-497	-	BSU31330 // BSU31340 // BSU31350
TU8J2-16175	+	BSU07735 // BSU07720
TU8J2-16775	+	BSU26800
TU8J2-102	+	BSU06580 // BSU06570
TU8J2-16753	-	BSU26470
TU8J2-1213	+	BSU_RRNA_3 // BSU_RRNA_2 // BSU_TRNA_6 // BSU_TRNA_5 // BSU_RRNA_1
TU8J2-1152	+	BSU02660
TU8J2-275	-	BSU39110 // BSU39120
TU8J2-16618	-	G8J2-17
TU8J2-17174	-	BSU17620
TU8J2-1191	+	BSU_TRNA_11
TU8J2-956	+	BSU09230
TU8J2-531	-	BSU30160
TU8J2-1016	-	BSU07640
TU8J2-16148	+	BSU06730
TU8J2-431	-	BSU35310
TU8J2-796	+	BSU17950 // BSU17940 // BSU17930
TU8J2-16056	+	BSU04150
TU8J2-301	+	BSU38630
TU8J2-16690	+	BSU_24205
TU8J2-16809	-	BSU27570
TU8J2-272	-	BSU39250 // BSU39260 // BSU39270
TU8J2-1241	+	BSU11400 // BSU11390 // BSU11381 // BSU11370 // BSU11360
TU8J2-932	+	BSU10110
TU8J2-16591	-	BSU20980
TU8J2-16833	-	BSU28990 // BSU28980
TU8J2-16572	-	BSU20660 // BSU20650
TU8J2-213	-	BSU40660
TU8J2-17235	+	BSU25420
TU8J2-16812	-	BSU27660
TU8J2-975	-	BSU08550
TU8J2-607	-	BSU28250 // BSU28260 // BSU28270 // BSU28280 // BSU28290 // BSU28300 // BSU28310
TU8J2-17080	+	BSU05050
TU8J2-646	-	BSU25780 // BSU25790 // BSU25800 // BSU25810
TU8J2-17429	-	BSU27468
TU8J2-945	+	BSU09450
TU8J2-16698	-	BSU24820 // BSU24810
TU8J2-16122	-	BSU06010 // BSU06000
TU8J2-17176	-	BSU17670
TU8J2-1288	+	BSU01780
TU8J2-16087	+	BSU05190
TU8J2-666	-	BSU24770
TU8J2-16602	+	BSU21150
TU8J2-16392	+	BSU16040
TU8J2-659	-	BSU25290 // BSU25300
TU8J2-16545	-	BSU20090
TU8J2-16441	+	BSU17560
TU8J2-708	-	BSU23490 // BSU23500
TU8J2-889	-	BSU12510
TU8J2-1190	+	BSU00640
TU8J2-16718	-	BSU25330 // BSU25320 // BSU25310
TU8J2-2953	-	BSU35000
TU8J2-780	+	BSU18600
TU8J2-991	+	BSU08300 // BSU08290
TU8J2-1274	-	BSU32570 // BSU32580 // BSU32590 // BSU32600 // BSU32610
TU8J2-891	+	BSU12420
TU8J2-16647	-	BSU22230
TU8J2-16498	-	BSU19010
TU8J2-16486	-	BSU18819
TU8J2-471	+	BSU32130
TU8J2-17301	-	BSU33850
TU8J2-17009	-	BSU37600
TU8J2-1064	+	BSU05540
TU8J2-16118	+	BSU_RRNA_12
TU8J2-1326	-	BSU03690
TU8J2-388	+	BSU36520 // BSU36510
TU8J2-1294	+	BSU18130
TU8J2-16009	+	BSU01580
TU8J2-16458	+	BSU18080
TU8J2-16012	-	BSU01720 // BSU01710
TU8J2-1257	-	BSU36230 // BSU36240 // BSU36250 // BSU36260
TU8J2-16338	+	BSU14072
TU8J2-15868	-	BSU36470
TU8J2-15980	+	BSU01030
TU8J2-17002	+	BSU37200 // BSU37190
TU8J2-521	-	BSU30530 // BSU30540
TU8J2-37	+	BSU24610 // BSU24600
TU8J2-16721	-	BSU_25565
TU8J2-15990	+	BSU01389
TU8J2-16934	-	BSU33460
TU8J2-15936	+	BSU01010
TU8J2-1178	-	BSU01600 // BSU01610 // BSU01620 // BSU01630
TU8J2-2958	-	BSU35490
TU8J2-15889	+	BSU11120
TU8J2-288	-	BSU38860
TU8J2-307	-	BSU38490
TU8J2-16295	+	BSU12810 // BSU12800 // BSU12790
TU8J2-652	+	BSU25600
TU8J2-866	+	BSU13840 // BSU13830
TU8J2-1299	-	BSU30700
TU8J2-673	-	BSU24550 // BSU24560 // BSU24570
TU8J2-1162	-	BSU02130 // BSU02140
TU8J2-507	-	BSU30940 // BSU30950 // BSU30960 // BSU30970 // BSU30980
TU8J2-17001	-	BSU_37089 // BSU37080
TU8J2-1222	+	BSU14071 // BSU14060
TU8J2-16195	+	BSU09250 // BSU09240
TU8J2-344	-	BSU37570
TU8J2-16872	-	BSU31160
TU8J2-16	-	BSU06310
TU8J2-190	+	BSU19610 // BSU19600
TU8J2-794	-	BSU17970
TU8J2-41	-	BSU36640 // BSU36650 // BSU36660
TU8J2-950	+	BSU09400
TU8J2-498	-	BSU31300
TU8J2-16672	-	BSU23010
TU8J2-15979	+	BSU01020
TU8J2-16272	-	BSU11860
TU8J2-16184	-	BSU08700
TU8J2-16154	-	BSU06812 // BSU06811
TU8J2-16949	-	BSU34050 // BSU34040 // BSU34030
TU8J2-595	-	BSU28520 // BSU28530 // BSU28540 // BSU28550 // BSU28560
TU8J2-16902	-	G8J2-178
TU8J2-1006	-	BSU07940 // BSU07955
TU8J2-17065	-	BSU02710
TU8J2-16960	-	BSU34790
TU8J2-972	+	BSU08610
TU8J2-1297	-	BSU18470 // BSU18480
TU8J2-15996	+	BSU01500 // BSU01490
TU8J2-16899	-	BSU32270
TU8J2-196	+	BSU09165
TU8J2-15914	-	BSU01650 // BSU01660 // BSU01670
TU8J2-16593	-	BSU20999
TU8J2-16398	+	BSU16560 // BSU16550
TU8J2-16516	-	BSU19430
TU8J2-17233	+	BSU25090
TU8J2-16403	+	BSU16680
TU8J2-16999	+	BSU37020
TU8J2-16226	+	BSU10210 // BSU10200
TU8J2-545	-	BSU29680
TU8J2-16527	-	BSU19700 // BSU19690 // BSU19689
