Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU21350-MONOMER	BSU21350	BSU21350	2249154	2256011	BSU21350	lytic transglycosylase; SPbeta phage protein	CCI-PM-BAC-POS-GP
BSU29740-MONOMER	BSU29740	BSU29740	3044165	3045169	BSU29740	transcriptional regulator of catabolite repression monomer	
BSU08740-MONOMER	BSU08740	BSU08740	944959	945312	BSU08740	putative membrane protein	CCI-PM-BAC-POS-GP
BSU05030-MONOMER	BSU05030	BSU05030	548710	549651	BSU05030	ICEBs1 mobile element: putative helicase	CCI-PM-BAC-POS-GP
BSU22810-MONOMER	BSU22810	BSU22810	2387854	2388588	BSU22810	putative lipoprotein of unknown function	
BSU19280-MONOMER	BSU19280	BSU19280	2099127	2099360	BSU19280	conserved protein of unknown function (sporulation-related)	
BSU13560-MONOMER	BSU13560	BSU13560	1423241	1424434	BSU13560	methylthioribose kinase (methionine salvage pathway, promiscuous)	
BSU26320-MONOMER	BSU26320	BSU26320	2697673	2698242	BSU26320	putative transcriptional regulator; skin element	
BSU36240-MONOMER	BSU36240	BSU36240	3731005	3731769	BSU36240	protein tyrosine-phosphatase	
BSU14420-MONOMER	BSU14420	BSU14420	1511923	1512192	BSU14420	putative membrane protein of unknown function	CCI-PM-BAC-POS-GP
BSU18530-MONOMER	BSU18530	BSU18530	2020611	2021144	BSU18530	putative N-acetyltransferase	CCI-CYTOSOL-GP
BSU04090-MONOMER	BSU04090	BSU04090	460592	461599	BSU04090	L-5-oxoprolinase (ATP-dependent) subunit C	
BSU33170-MONOMER	BSU33170	BSU33170	3402469	3403530	BSU33170	putative ABC-type vitamin B<small><sub>12</sub></small> transporter permease subunit	CCI-PM-BAC-POS-GP
BSU26720-MONOMER	BSU26720	BSU26720	2729753	2730226	BSU26720	transcriptional repressor of the azlBCD operon	CCI-CYTOSOL-GP
BSU40750-MONOMER	BSU40750	BSU40750	4186092	4186448	BSU40750	putative DNA-binding protein	
BSU23480-MONOMER	BSU23480	BSU23480	2445094	2446263	BSU23480	D-alanyl-D-alanine carboxypeptidase (penicilin binding protein, sporulation island)	CCI-EXTRACELLULAR-GP
BSU34580-MONOMER	BSU34580	BSU34580	3551479	3552363	BSU34580	putative component of maltodextrin transporter	CCI-PM-BAC-POS-GP
BSU13180-MONOMER	BSU13180	BSU13180	1383320	1385608	BSU13180	cobalamin-independent methionine synthase	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
BSU28720-MONOMER	BSU28720	BSU28720	2938330	2939832	BSU28720	&alpha;-L-arabinofuranosidase 1	CCI-CYTOSOL-GP
BSU30290-MONOMER	BSU30290	BSU30290	3100031	3100861	BSU30290	melibiose and raffinose ABC transporter (permease)	CCI-PM-BAC-POS-GP
CPLX8J2-114	BSU25100		2591428	2591865	BSU25100	Zur-Zinc	
BSU36610-MONOMER	BSU36610	BSU36610	3765051	3765434	BSU36610	putative integral inner membrane protein	CCI-PM-BAC-POS-GP
BSU14680-MONOMER	BSU14680	BSU14680	1538264	1538692	BSU14680	putative acyltransferase	
BSU06570-MONOMER	BSU06570	BSU06570	715433	716428	BSU06570	sporulation lipoprotein	CCI-PM-BAC-POS-GP
BSU20929-MONOMER	BSU20929	BSU20929	2212848	2213078	BSU20929	conserved membrane protein of unknown function; phage SPbeta	CCI-PM-BAC-POS-GP
BSU37520-MONOMER	BSU37520	BSU37520	3852186	3852704	BSU37520	conserved protein of unknown function	
BSU08660-MONOMER	BSU08660	BSU08660	937900	938154	BSU08660	small acid-soluble spore protein (gamma-type SASP)	
CPLX8J2-191	BSU08390	BSU08390	913924	914460	BSU08390	bacillithiol <i>S</i>-transferase	
BSU34650-MONOMER	BSU34650	BSU34650	3559632	3559952	BSU34650	putative NTP pyrophosphohydrolase	
BSU10950-MONOMER	BSU10950	BSU10950	1173333	1174091	BSU10950	2-phospho-3-sulfolactate synthase	
BSU33000-MONOMER	BSU33000	BSU33000	3384070	3385446	BSU33000	protease-associated chaperone for the extracytoplasmic folding and quality control of exported proteins	CCI-PM-BAC-POS-GP
BSU11420-MONOMER	BSU11420	BSU11420	1218113	1219105	BSU11420	tryptophanyl-tRNA synthetase	CCI-CYTOSOL-GP
BSU00650-MONOMER	BSU00650	BSU00650	73106	73843	BSU00650	conserved protein of unknown function	
BSU25460-MONOMER	BSU25460	BSU25460	2624785	2625912	BSU25460	co-factor of molecular chaperone	CCI-CYTOSOL-GP
BSU38480-MONOMER	BSU38480	BSU38480	3949952	3950584	BSU38480	(p)ppGpp synthetase	
BSU29730-MONOMER	BSU29730	BSU29730	3043284	3044102	BSU29730	sodium channel stator-force generator subunit of flagellar rotation	CCI-PM-BAC-POS-GP
BSU04580-MONOMER	BSU04580	BSU04580	511157	512641	BSU04580	ATP-dependent RNA helicase; cold shock; degradosome component	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP // CCI-BAC-NUCLEOID-GP
BSU39180-MONOMER	BSU39180	BSU39180	4020977	4021306	BSU39180	conserved protein of unknown function	
BSU21800-MONOMER	BSU21800	BSU21800	2295982	2296602	BSU21800	putative 1-acyl-sn-glycerol-3-phosphate acyltransferase	
BSU18790-MONOMER	BSU18790	BSU18790	2047675	2048307	BSU18790	putative deglycase	CCI-CYTOSOL-GP
CPLX8J2-115	BSU03230		348724	349959	BSU03230	PutR-Pro	
BSU37860-MONOMER	BSU37860	BSU37860	3887026	3887748	BSU37860	stationary phase survival protein required for legionaminic acid transfer from mother cell to spore surface	CCI-CYTOSOL-GP
BSU16340-MONOMER	BSU16340	BSU16340	1704211	1704870	BSU16340	flagellar export regulatory protein (Type III secretion system)	CCI-PM-BAC-POS-GP
BSU38840-MONOMER	BSU38840	BSU38840	3987927	3988763	BSU38840	putative guanidinium exporter	CCI-PM-BAC-POS-GP
BSU33530-MONOMER	BSU33530	BSU33530	3444329	3445405	BSU33530	scyllo-inositol 2-dehydrogenase (NADP(+)-dependent)	
CPLX8J2-264	BSU27220 // BSU27230		2781209	2784151	BSU27220 // BSU27230	formate dehydrogenase FdhDE	
BSU13490-MONOMER	BSU13490	BSU13490	1414997	1415893	BSU13490	membrane protease	CCI-PM-BAC-POS-GP
BSU21960-MONOMER	BSU21960	BSU21960	2308792	2308974	BSU21960	conserved protein of unknown function	
BSU07420-MONOMER	BSU07420	BSU07420	814384	815940	BSU07420	putative energy-sensing inhibitor of translation (ATP-binding)	CCI-CYTOSOL-GP
BSU13169-MONOMER	BSU13169	BSU13169	1382457	1382627	BSU13169	hypothetical protein	
BSU32570-MONOMER	BSU32570	BSU32570	3347051	3347905	BSU32570	fructosamine kinase	CCI-CYTOSOL-GP
BSU40260-MONOMER	BSU40260	BSU40260	4137362	4137610	BSU40260	conserved membrane protein	CCI-PM-BAC-POS-GP
BSU12180-MONOMER	BSU12180	BSU12180	1289298	1289939	BSU12180	putative lipoprotein	CCI-PM-BAC-POS-GP
BSU16120-MONOMER	BSU16120	BSU16120	1683661	1685736	BSU16120	DNA topoisomerase I	
CPLX8J2-82	BSU34700 // BSU34690		3565496	3566275	BSU34700 // BSU34690	ABC transporter PsdAB (lantibiotic resistance)	
BSU30840-MONOMER	BSU30840	BSU30840	3154007	3154726	BSU30840	sporulation regulatory protein (zinc finger)	
BSU21300-MONOMER	BSU21300	BSU21300	2245147	2246148	BSU21300	integrase; phage SPbeta	
BSU31850-MONOMER	BSU31850	BSU31850	3266200	3266655	BSU31850	type VII secretion system subunit for LXG toxins secretion	CCI-PM-BAC-POS-GP
BSU18170-MONOMER	BSU18170	BSU18170	1946249	1946695	BSU18170	transporter of undecaprenyl-phosphate glucose	CCI-PM-BAC-POS-GP
BSU09510-MONOMER	BSU09510	BSU09510	1028511	1029587	BSU09510	negative regulator of the activity of sigma-M	CCI-PM-BAC-POS-GP
BSU06040-MONOMER	BSU06040	BSU06040	653432	653812	BSU06040	prophage 3 region; hypothetical protein	
BSU09620-MONOMER	BSU09620	BSU09620	1037688	1038419	BSU09620	putative glycerophosphodiester phosphodiesterase	
BSU26270-MONOMER	BSU26270	BSU26270	2694420	2695097	BSU26270	putative DNA-binding protein; skin element	
BSU35890-MONOMER	BSU35890	BSU35890	3698982	3699431	BSU35890	capsular polyglutamate amide ligase/translocase subunit	CCI-PM-BAC-POS-GP
BSU19579-MONOMER	BSU19579	BSU19579	2130177	2130377	BSU19579	putative exported protein	CCI-PM-BAC-POS-GP
BSU22480-MONOMER	BSU22480	BSU22480	2358911	2359324	BSU22480	methylglyoxal synthase	CCI-CYTOSOL-GP
BSU37880-MONOMER	BSU37880	BSU37880	3888862	3889731	BSU37880	stationary phase survival protein required for legionaminic acid synthesis; putative TDP-glycosamine N-acetyltransferase;	
BSU24470-MONOMER	BSU24470	BSU24470	2539755	2540201	BSU24470	similar to 3-dehydroquinate dehydratase, type II	CCI-CYTOSOL-GP
BSU32370-MONOMER	BSU32370	BSU32370	3323670	3325058	BSU32370	putative nuclease/nucleotidase/phosphoesterase	
BSU16080-MONOMER	BSU16080	BSU16080	1679977	1680258	BSU16080	putative flagellar biosynthesis exporter protein	CCI-PM-BAC-POS-GP
BSU37100-MONOMER	BSU37100	BSU37100	3806086	3807375	BSU37100	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GP
BSU00300-MONOMER	BSU00300	BSU00300	40213	40653	BSU00300	conserved hypothetical protein	
BSU09958-MONOMER	BSU09958	BSU09958	1071402	1071488	BSU09958	spore assembly and germination protein	CCI-PM-BAC-POS-GP
BSU20630-MONOMER	BSU20630	BSU20630	2198313	2198765	BSU20630	conserved hypothetical protein; phage SPbeta	
BSU36900-MONOMER	BSU36900	BSU36900	3789190	3790437	BSU36900	serine hydroxymethyltransferase (PLP-dependent)	CCI-CYTOSOL-GP
BSU17470-MONOMER	BSU17470	BSU17470	1880087	1880377	BSU17470	putative permease protein; defective SPbeta-like phage region;	CCI-PM-BAC-POS-GP
BSU40480-MONOMER	BSU40480	BSU40480	4159790	4160998	BSU40480	putative transporter YycB	CCI-PM-BAC-POS-GP
BSU26230-MONOMER	BSU26230	BSU26230	2691642	2692571	BSU26230	conserved phage protein of unknown function; skin element	
BSU12580-MONOMER	BSU12580	BSU12580	1325890	1327191	BSU12580	phage PBSX; prophage terminase (large subunit)	
BSU02420-MONOMER	BSU02420	BSU02420	262732	264168	BSU02420	glutamine transporter	CCI-PM-BAC-POS-GP
BSU04360-MONOMER	BSU04360	BSU04360	491147	492424	BSU04360	proton-coupled manganese transporter	CCI-PM-BAC-POS-GP
BSU23430-MONOMER	BSU23430	BSU23430	2442269	2442694	BSU23430	stage V sporulation protein AB; uptake of the 1:1 chelate of pyridine-2,6-dicarboxylic acid (DPA(2,6)) and Ca(2 ) into developing spores	CCI-PM-BAC-POS-GP
BSU22770-MONOMER	BSU22770	BSU22770	2384534	2384761	BSU22770	tryptophan operon RNA-binding attenuation protein (TRAP)	
BSU06670-MONOMER	BSU06670	BSU06670	728732	729022	BSU06670	glutamyl-tRNA(Gln) amidotransferase (subunit C)	
BSU13030-MONOMER	BSU13030	BSU13030	1372035	1372553	BSU13030	promiscuous acyl-CoA thioesterase	CCI-CYTOSOL-GP
BSU35410-MONOMER	BSU35410	BSU35410	3638245	3639768	BSU35410	flagellar hook-filament junction	CCI-EXTRACELLULAR-GP // CCO-CELL-PROJECTION
BSU31380-MONOMER	BSU31380	BSU31380	3224864	3225100	BSU31380	sporulation-related stress protein	CCI-PM-BAC-POS-GP
BSU26130-MONOMER	BSU26130	BSU26130	2682885	2683196	BSU26130	putative DNA packaging chaperone; skin element	
BSU15750-MONOMER	BSU15750	BSU15750	1649286	1650377	BSU15750	23S rRNA m2A2503 methyltransferase and tRNA A37 C2 methyltransferase	CCI-CYTOSOL-GP
BSU08790-MONOMER	BSU08790	BSU08790	955895	957667	BSU08790	phosphomethylpyrimidine synthase monomer	CCI-CYTOSOL-GP
BSU11730-MONOMER	BSU11730	BSU11730	1248665	1249348	BSU11730	spore outer coat crust protein	
BSU19760-MONOMER	BSU19760	BSU19760	2146821	2148101	BSU19760	putative glycosyltransferase involved in maturation of the outermost layer of the spore	
BSU23080-MONOMER	BSU23080	BSU23080	2412706	2413473	BSU23080	3-dehydroquinate dehydratase	CCI-CYTOSOL-GP
BSU01030-MONOMER	BSU01030	BSU01030	119111	119809	BSU01030	ribosomal protein L1 (BL1)	CCI-RIBOSOME-GP
BSU09660-MONOMER	BSU09660	BSU09660	1040861	1041709	BSU09660	peptidoglycan N-acetylglucosamine deacetylase	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
BSU14590-MONOMER	BSU14590	BSU14590	1529445	1530422	BSU14590	pyruvate dehydrogenase (E1 beta subunit)	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
CPLX-7893	BSU13930	BSU13930	1461770	1462798	BSU13930	spore photoproduct lyase	
BSU07890-MONOMER	BSU07890	BSU07890	862492	862812	BSU07890	conserved hypothetical protein	
BSU00380-MONOMER	BSU00380	BSU00380	45633	47627	BSU00380	methionyl-tRNA synthetase	CCI-CYTOSOL-GP
BSU01240-MONOMER	BSU01240	BSU01240	139924	140124	BSU01240	ribosomal protein L29	CCI-RIBOSOME-GP
BSU20310-MONOMER	BSU20310	BSU20310	2174352	2174549	BSU20310	conserved hypothetical protein; phage SPbeta	
BSU05850-MONOMER	BSU05850	BSU05850	630170	630883	BSU05850	transcriptional regulator (GntR family)	CCI-CYTOSOL-GP
BSU09070-MONOMER	BSU09070	BSU09070	981604	982302	BSU09070	putative ABC efflux transporter ATP-binding protein YhcG	
BSU23850-MONOMER	BSU23850	BSU23850	2479156	2480625	BSU23850	glucose-6-phosphate 1-dehydrogenase (NADP-dependent)	CCI-CYTOSOL-GP
BSU22840-MONOMER	BSU22840	BSU22840	2390206	2391516	BSU22840	GTPase essential for ribosome 50S subunit assembly (maturation of the 50S subunit central protoberance)	CCI-CYTOSOL-GP
CPLX8J2-288	BSU32990	BSU32990	3383565	3384026	BSU32990	non-heme mini-ferritin	
BSU22820-MONOMER	BSU22820	BSU22820	2388610	2388813	BSU22820	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU01700-MONOMER	BSU01700	BSU01700	192051	192965	BSU01700	D-lactyl ether N-acetylmuramic-6-phosphate acid etherase	CCI-CYTOSOL-GP
BSU34880-MONOMER	BSU34880	BSU34880	3584317	3585054	BSU34880	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	CCI-CYTOSOL-GP
BSU37240-MONOMER	BSU37240	BSU37240	3821570	3823072	BSU37240	minor cardiolipin synthetase	CCI-PM-BAC-POS-GP
BSU14629-MONOMER	BSU14629	BSU14629	1534120	1534239	BSU14629	regulator of GapA synthesis	
BSU32840-MONOMER	BSU32840	BSU32840	3370025	3372394	BSU32840	bifunctional enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase	
BSU36770-MONOMER	BSU36770	BSU36770	3779293	3780033	BSU36770	sporulation protein; co-activator (with SpoIIR) for triggering SpoIIGA-dependent processing of SigE	
BSU30530-MONOMER	BSU30530	BSU30530	3124250	3125641	BSU30530	alanine permease	CCI-PM-BAC-POS-GP
BSU00900-MONOMER	BSU00900	BSU00900	109789	110487	BSU00900	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway	
BSU39890-MONOMER	BSU39890	BSU39890	4097416	4098150	BSU39890	putative S-adenosylmethionine-dependent methyltransferase	
BSU18910-MONOMER	BSU18910	BSU18910	2062150	2063265	BSU18910	response regulator aspartate phosphatase	CCI-CYTOSOL-GP
BSU01750-MONOMER	BSU01750	BSU01750	196213	197034	BSU01750	diadenylate cyclase	CCI-PM-BAC-POS-GP
BSU31930-MONOMER	BSU31930	BSU31930	3278325	3279461	BSU31930	l-alanine dehydrogenase (NAD-dependent); spore memory of past environments	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU14340-MONOMER	BSU14340	BSU14340	1503582	1504277	BSU14340	putative transporter (SDP resistance) accessory component YknW	CCI-PM-BAC-POS-GP
BSU04320-MONOMER	BSU04320	BSU04320	486432	488255	BSU04320	cyclic di-AMP controlled K(+)/H(+) symporter of potassium	CCI-PM-BAC-POS-GP
BSU37230-MONOMER	BSU37230	BSU37230	3819754	3821481	BSU37230	ABC family transporter, ATP-binding/membrane protein YwjA	CCI-PM-BAC-POS-GP
BSU26730-MONOMER	BSU26730	BSU26730	2730560	2730835	BSU26730	putative ribonuclease inhibitor	CCI-CYTOSOL-GP
BSU30710-MONOMER	BSU30710	BSU30710	3139431	3140762	BSU30710	cytochrome bd2 menaquinol oxidase subunit I	CCI-PM-BAC-POS-GP
BSU18130-MONOMER	BSU18130	BSU18130	1940625	1942124	BSU18130	endo-1,4-beta-glucanase, cellulase	CCI-EXTRACELLULAR-GP
BSU28710-MONOMER	BSU28710	BSU28710	2936382	2938178	BSU28710	carbon starvation-induced puruvate / proton transporter	CCI-PM-BAC-POS-GP
BSU24300-MONOMER	BSU24300	BSU24300	2526920	2528266	BSU24300	exodeoxyribonuclease VII (large subunit)	CCI-CYTOSOL-GP
BSU34700-MONOMER	BSU34700	BSU34700	3565496	3566275	BSU34700	lantibiotic ABC exporter (ATP-binding protein)	CCI-PM-BAC-POS-GP
CPLX-7445	BSU13590	BSU13590	1427061	1428278	BSU13590		
BSU14090-MONOMER	BSU14090	BSU14090	1482248	1483471	BSU14090	putative cyclic-di-GMP receptor (no phosphodiesterase activity)	
BSU03740-MONOMER	BSU03740	BSU03740	424904	426364	BSU03740	putative ABC efflux transporter membrane protein YclI	CCI-PM-BAC-POS-GP
BSU17980-MONOMER	BSU17980	BSU17980	1926128	1926274	BSU17980	small acid-soluble spore protein	
BSU31650-MONOMER	BSU31650	BSU31650	3251724	3252008	BSU31650	Na<sup>+</sup>:H<sup>+</sup> antiporter subunit F	CCI-PM-BAC-POS-GP
BSU21730-MONOMER	BSU21730	BSU21730	2290285	2290848	BSU21730	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU08030-MONOMER	BSU08030	BSU08030	876426	877403	BSU08030	tRNA-dihydrouridine synthase 2	
BSU07120-MONOMER	BSU07120	BSU07120	782062	782949	BSU07120	putative ABC transporter membrane subunit LplC	CCI-PM-BAC-POS-GP
BSU29980-MONOMER	BSU29980	BSU29980	3067420	3068811	BSU29980	putative promiscuous peptidase/deacylase	
BSU22060-MONOMER	BSU22060	BSU22060	2318127	2319443	BSU22060	xanthine/proton permease	CCI-PM-BAC-POS-GP
BSU34570-MONOMER	BSU34570	BSU34570	3549228	3551501	BSU34570	maltose phosphorylase	
BSU20450-MONOMER	BSU20450	BSU20450	2188204	2189964	BSU20450	putative uronase; phage SPbeta	
BSU32910-MONOMER	BSU32910	BSU32910	3377430	3377759	BSU32910	putative 3-oxoacyl- acyl-carrier protein reductase	
BSU04020-MONOMER	BSU04020	BSU04020	454652	455260	BSU04020	putative hydrolase	
BSU00880-MONOMER	BSU00880	BSU00880	107476	108558	BSU00880	diadenylate cyclase; DNA integrity scanning protein; cell cycle checkpoint DNA scanning protein	CCI-CYTOSOL-GP
BSU00340-MONOMER	BSU00340	BSU00340	42917	43660	BSU00340	tRNA<small><sub>1</sub></small><small><sup>Val</sup></small> (adenine<small><sup>37</sup></small>-<em>N</em><small><sup>6</sup></small>)-methyltransferase	
BSU21590-MONOMER	BSU21590	BSU21590	2277521	2278078	BSU21590	conserved protein of unknown function; phage SPbeta	
BSU26790-MONOMER	BSU26790	BSU26790	2735682	2736536	BSU26790	aminoglycoside 6-adenylyltransferase	CCI-CYTOSOL-GP
BSU02210-MONOMER	BSU02210	BSU02210	241917	242837	BSU02210	putative permease	CCI-PM-BAC-POS-GP
BSU21860-MONOMER	BSU21860	BSU21860	2300221	2300655	BSU21860	protein disulfide isomerase; bacilliredoxin A (de-bacillithiolation)	
MONOMER8J2-13	BSU33010	BSU33010	3385724	3386401	BSU33010	CssR two-component response regulator, phosphorylated	CCI-CYTOSOL-GP
BSU25260-MONOMER	BSU25260	BSU25260	2605730	2607769	BSU25260	glycyl-tRNA synthetase (beta subunit)	CCI-CYTOSOL-GP
BSU28460-MONOMER	BSU28460	BSU28460	2909030	2909476	BSU28460	conserved protein of unknown function	
BSU02700-MONOMER	BSU02700	BSU02700	292205	292843	BSU02700	secreted alkaliphilic lipase	CCI-EXTRACELLULAR-GP
BSU06610-MONOMER	BSU06610	BSU06610	719370	721589	BSU06610	ATP-dependent DNA helicase	CCI-CYTOSOL-GP
CPLX8J2-287	BSU23520		2449841	2450290	BSU23520	Fur-Fe<sup>2+</sup>	
BSU09420-MONOMER	BSU09420	BSU09420	1018998	1020002	BSU09420	cell wall dl-endopeptidase; phosphatase-associated protein (major autolysin)	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU07230-MONOMER	BSU07230	BSU07230	790318	791427	BSU07230	flavin-dependent hydroxylase/monooxygenase acting on salicylate derivatives	CCI-CYTOSOL-GP
CPLX-9084	BSU10120	BSU10120	1086117	1087178	BSU10120	uroporphyrinogen III decarboxylase	
BSU34980-MONOMER	BSU34980	BSU34980	3592457	3593395	BSU34980	putative nucleoside transporter with nucleotide binding domain	CCI-PM-BAC-POS-GP
BSU08510-MONOMER	BSU08510	BSU08510	924633	925544	BSU08510	putative nucleotide-or NAD-binding protein	
BSU05080-MONOMER	BSU05080	BSU05080	553711	554475	BSU05080	putative metal-dependent hydrolase	
BSU28820-MONOMER	BSU28820	BSU28820	2950221	2951306	BSU28820	putative fructose-lysine aminopeptidase	
BSU17559-MONOMER	BSU17559	BSU17559	1885753	1885917	BSU17559	conserved hypothetical protein; defective SPbeta-like phage region	CCI-PM-BAC-POS-GP
BSU40370-MONOMER	BSU40370	BSU40370	4148851	4149645	BSU40370	5'-3' double-stranded DNA exonuclease	CCI-CYTOSOL-GP
CPLX8J2-39	BSU14530 // BSU16780		1523118	1524785	BSU14530 // BSU16780	RNase J complex	
BSU40500-MONOMER	BSU40500	BSU40500	4163197	4163646	BSU40500	ribosomal protein L9	CCI-RIBOSOME-GP
BSU01770-MONOMER	BSU01770	BSU01770	198497	199843	BSU01770	phosphoglucosamine mutase	CCI-CYTOSOL-GP
BSU08425-MONOMER	BSU08425	BSU08425	916778	919348	BSU08425	phosphatidylglycerol lysyltransferase involved in tRNA-dependent lysinylation of phospholipids	CCI-PM-BAC-POS-GP
BSU02580-MONOMER	BSU02580	BSU02580	281028	281714	BSU02580	putative permease of an ABC transporter	CCI-PM-BAC-POS-GP
BSU02870-MONOMER	BSU02870	BSU02870	310000	310842	BSU02870	Zn<sup>2+</sup> ABC transporter membrane subunit	CCI-PM-BAC-POS-GP
BSU21370-MONOMER	BSU21370	BSU21370	2256832	2259459	BSU21370	putative DNA wielding protein; SPbeta phage	
BSU26370-MONOMER	BSU26370	BSU26370	2700033	2700569	BSU26370	putative kinase; skin element	
BSU11340-MONOMER	BSU11340	BSU11340	1209183	1210424	BSU11340	beta-ketoacyl-acyl carrier protein synthase II (involved in pimelate synthesis)	CCI-CYTOSOL-GP
BSU15310-MONOMER	BSU15310	BSU15310	1603779	1604708	BSU15310	protease processing pro-sigma-E	CCI-PM-BAC-POS-GP
BSU08899-MONOMER	BSU08899	BSU08899	966671	966871	BSU08899	putative HTH-type transcriptional regulator	
BSU10440-MONOMER	BSU10440	BSU10440	1118850	1119119	BSU10440	putative spore-related protein	
BSU40580-MONOMER	BSU40580	BSU40580	4173114	4173551	BSU40580	conserved protein of unknown function	
BSU17680-MONOMER	BSU17680	BSU17680	1902219	1903058	BSU17680	thymidylate synthase A (phage origin); defective SPbeta-like phage region	CCI-CYTOSOL-GP
BSU23570-MONOMER	BSU23570	BSU23570	2454347	2455774	BSU23570	L-aspartase (aspartate ammonia lyase)	CCI-CYTOSOL-GP
BSU19180-MONOMER	BSU19180	BSU19180	2089396	2090454	BSU19180	fatty acid desaturase	CCI-PM-BAC-POS-GP
BSU36570-MONOMER	BSU36570	BSU36570	3761182	3761700	BSU36570	putative integral inner membrane protein	CCI-PM-BAC-POS-GP
BSU39950-MONOMER	BSU39950	BSU39950	4103762	4104187	BSU39950	putative integral membrane protein of unknown function	CCI-PM-BAC-POS-GP
BSU26590-MONOMER	BSU26590	BSU26590	2716973	2718175	BSU26590	spermidine efflux transporter Blt	CCI-PM-BAC-POS-GP
BSU10460-MONOMER	BSU10460	BSU10460	1120628	1120828	BSU10460	putative exported protein	CCI-PM-BAC-POS-GP
BSU22170-MONOMER	BSU22170	BSU22170	2330075	2331232	BSU22170	m(7)G2069 methylase of 23S rRNA possible double methylation (both faces of an helical stem of 23S rRNA)	CCI-CYTOSOL-GP
BSU40880-MONOMER	BSU40880	BSU40880	4197780	4198538	BSU40880	apurinic/apyrimidinic endonuclease / 3'-5' exonuclease / ribonuclease H / 3'-phosphomonoesterase	CCI-CYTOSOL-GP
BSU35560-MONOMER	BSU35560	BSU35560	3651879	3652559	BSU35560	putative hydrolase involved in teichuronic acid synthesis	CCI-PM-BAC-POS-GP
CPLX8J2-119	BSU38810 // BSU34610 // BSU34600 // BSU34590		3984133	3985230	BSU38810 // BSU34610 // BSU34600 // BSU34590	maltodextrin ABC transporter	
BSU01890-MONOMER	BSU01890	BSU01890	211859	213031	BSU01890	putative efflux transporter; prophage 1 region	CCI-PM-BAC-POS-GP
BSU18440-MONOMER	BSU18440	BSU18440	2008572	2010053	BSU18440	glutamate synthase (small subunit, NADP-dependent)	
MONOMER8J2-6	BSU25760 // BSU26390		2652993	2653463	BSU25760 // BSU26390	RNA polymerase sporulation-specific sigma factor (pro-&sigma;K)	
BSU17120-MONOMER	BSU17120	BSU17120	1786104	1788407	BSU17120	bifunctional enzyme involved in bacillaene synthesis	CCI-CYTOSOL-GP
BSU03300-MONOMER	BSU03300	BSU03300	355764	358181	BSU03300	nitrite reductase subunit NasD	CCI-CYTOSOL-GP
BSU30640-MONOMER	BSU30640	BSU30640	3135668	3136072	BSU30640	putative lytic amidase	CCI-PM-BAC-POS-GP
BSU24590-MONOMER	BSU24590	BSU24590	2551469	2552263	BSU24590	conserved protein of unknown function	
BSU12770-MONOMER	BSU12770	BSU12770	1345631	1345795	BSU12770	phage PBSX; structural tail protein	
BSU04850-MONOMER	BSU04850	BSU04850	532922	533302	BSU04850	ICEBs1 mobile element: helicase processivity factor	CCI-CYTOSOL-GP
BSU09950-MONOMER	BSU09950	BSU09950	1070364	1071242	BSU09950	molecular chaperone extracytoplasmic lipoprotein	CCI-PM-BAC-POS-GP
BSU11920-MONOMER	BSU11920	BSU11920	1265057	1265377	BSU11920	conserved hypothetical protein; phage island	
BSU29490-MONOMER	BSU29490	BSU29490	3017696	3018199	BSU29490	thiol peroxidase (lipid hydroperoxide reductase)	CCI-CYTOSOL-GP
BSU35630-MONOMER	BSU35630	BSU35630	3660648	3662765	BSU35630	modifier of major autolysin amidase LytC	CCI-PM-BAC-POS-GP // CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU08779-MONOMER	BSU08779	BSU08779	954579	954851	BSU08779	spore associated protein	
BSU08230-MONOMER	BSU08230	BSU08230	897588	897992	BSU08230	catechol-2,3-dioxygenase membrane subunit	CCI-PM-BAC-POS-GP
BSU15360-MONOMER	BSU15360	BSU15360	1608919	1609164	BSU15360	essential sporulation protein	
BSU15000-MONOMER	BSU15000	BSU15000	1568924	1569196	BSU15000	conserved hypothetical protein	CCI-CYTOSOL-GP
BSU40050-MONOMER	BSU40050	BSU40050	4113417	4114148	BSU40050	transcriptional regulator (GntR::gluconate)	CCI-CYTOSOL-GP
